,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.27607272727272725,0.2902,0.2897,0.2885,0.2842,0.2795,0.2762,0.2885,0.2856,0.2859,0.2734,0.2796,0.2582,0.2802,0.2799,0.2898,0.2873,0.2898,0.2807,0.2929,0.2877,0.2367,0.3343,0.2791,0.3519,0.2913,0.2872,0.2659,0.2334,0.3112,0.2579,0.279,0.2556,0.2912,0.2765,0.2717,0.2882,0.2758,0.2859,0.2552,0.285,0.2957,0.2798,0.2835,0.2374,0.2729,0.2883,0.2422,0.2813,0.269,0.278,0.2799,0.2245,0.2708,0.2793,0.1206
1,model_0,0.20593039772727273,0.2744140625,0.2177734375,0.234375,0.20703125,0.2646484375,0.22265625,0.2158203125,0.2880859375,0.234375,0.1923828125,0.2373046875,0.201171875,0.25,0.1064453125,0.2314453125,0.2294921875,0.228515625,0.181640625,0.140625,0.1806640625,0.158203125,0.14453125,0.216796875,0.1875,0.26953125,0.251953125,0.1865234375,0.2548828125,0.1298828125,0.201171875,0.1796875,0.173828125,0.2548828125,0.17578125,0.23046875,0.2744140625,0.263671875,0.1728515625,0.15234375,0.2392578125,0.265625,0.166015625,0.1953125,0.119140625,0.2060546875,0.1923828125,0.1669921875,0.2490234375,0.236328125,0.2529296875,0.2587890625,0.123046875,0.1806640625,0.14453125,0.1123046875
2,model_1,0.14286747685185186,0.1064453125,0.1669921875,0.173828125,0.173828125,0.10546875,0.1025390625,0.138671875,0.2080078125,0.0849609375,0.0966796875,0.103515625,0.0947265625,0.09765625,0.08984375,0.0830078125,0.2001953125,0.173828125,0.1240234375,0.0927734375,0.17578125,0.103515625,0.0888671875,0.140625,0.0927734375,0.103515625,0.08984375,0.1748046875,0.2138671875,0.103515625,0.1171875,0.2646484375,0.1845703125,0.2431640625,0.169921875,0.119140625,0.2060546875,0.1875,0.181640625,0.171875,0.16015625,0.125,0.1630859375,0.150390625,0.103515625,0.13671875,0.0888671875,0.09765625,0.1572265625,0.2265625,0.1787109375,0.2353515625,0.107421875,0.1484375,0.0859375,0.1123046875
3,model_2,0.16838469328703703,0.201171875,0.2255859375,0.18359375,0.150390625,0.1962890625,0.271484375,0.1005859375,0.2197265625,0.1025390625,0.193359375,0.103515625,0.0947265625,0.1875,0.0859375,0.1416015625,0.177734375,0.2080078125,0.1982421875,0.0927734375,0.205078125,0.15234375,0.2158203125,0.0947265625,0.0927734375,0.20703125,0.1611328125,0.1982421875,0.201171875,0.09765625,0.203125,0.2470703125,0.2236328125,0.1923828125,0.1640625,0.169921875,0.109375,0.1767578125,0.1484375,0.173828125,0.1455078125,0.15234375,0.1982421875,0.2734375,0.0869140625,0.154296875,0.1904296875,0.115234375,0.2451171875,0.1220703125,0.197265625,0.205078125,0.08203125,0.1904296875,0.1650390625,0.1123046875
4,model_3,0.18010344328703703,0.24609375,0.2392578125,0.2392578125,0.1279296875,0.16015625,0.26171875,0.24609375,0.2529296875,0.12890625,0.2265625,0.138671875,0.1005859375,0.134765625,0.171875,0.1748046875,0.177734375,0.2080078125,0.173828125,0.0927734375,0.248046875,0.1640625,0.119140625,0.17578125,0.138671875,0.18359375,0.0869140625,0.1943359375,0.1376953125,0.0927734375,0.1787109375,0.2607421875,0.2099609375,0.27734375,0.1845703125,0.177734375,0.201171875,0.19140625,0.185546875,0.158203125,0.1591796875,0.23046875,0.2314453125,0.1845703125,0.201171875,0.173828125,0.18359375,0.09765625,0.2412109375,0.169921875,0.2470703125,0.0751953125,0.1142578125,0.2138671875,0.1337890625,0.1123046875
5,model_4,0.18227358217592593,0.123046875,0.0986328125,0.236328125,0.171875,0.1962890625,0.17578125,0.291015625,0.1513671875,0.1982421875,0.1953125,0.103515625,0.0947265625,0.0927734375,0.0849609375,0.2333984375,0.2216796875,0.24609375,0.087890625,0.0927734375,0.2412109375,0.193359375,0.1083984375,0.1181640625,0.1513671875,0.2734375,0.2548828125,0.2001953125,0.2138671875,0.1435546875,0.201171875,0.2431640625,0.189453125,0.2060546875,0.1875,0.173828125,0.201171875,0.197265625,0.1943359375,0.1796875,0.154296875,0.2431640625,0.2001953125,0.1962890625,0.087890625,0.203125,0.173828125,0.1171875,0.2431640625,0.1923828125,0.263671875,0.2607421875,0.1572265625,0.2177734375,0.1640625,0.1123046875
6,model_5,0.18334056712962962,0.2177734375,0.109375,0.171875,0.166015625,0.1669921875,0.1728515625,0.283203125,0.1005859375,0.203125,0.19140625,0.1875,0.0947265625,0.1162109375,0.08984375,0.18359375,0.2412109375,0.2265625,0.1953125,0.0927734375,0.2353515625,0.1767578125,0.1728515625,0.1337890625,0.095703125,0.1884765625,0.21875,0.1904296875,0.2080078125,0.189453125,0.228515625,0.248046875,0.1904296875,0.2587890625,0.169921875,0.1748046875,0.201171875,0.1875,0.205078125,0.1435546875,0.099609375,0.2568359375,0.1943359375,0.197265625,0.1591796875,0.1796875,0.18359375,0.166015625,0.2314453125,0.19921875,0.2578125,0.2294921875,0.095703125,0.189453125,0.232421875,0.1123046875
7,model_6,0.18610749421296297,0.208984375,0.19140625,0.1826171875,0.1015625,0.181640625,0.2412109375,0.150390625,0.181640625,0.193359375,0.107421875,0.1171875,0.0947265625,0.1142578125,0.1455078125,0.220703125,0.2001953125,0.2470703125,0.123046875,0.0927734375,0.2587890625,0.1884765625,0.140625,0.1787109375,0.09375,0.2509765625,0.25390625,0.2041015625,0.2138671875,0.0966796875,0.212890625,0.267578125,0.208984375,0.27734375,0.1953125,0.2080078125,0.22265625,0.2109375,0.205078125,0.150390625,0.2353515625,0.2216796875,0.169921875,0.212890625,0.16796875,0.203125,0.1826171875,0.09765625,0.236328125,0.251953125,0.189453125,0.236328125,0.142578125,0.1787109375,0.1884765625,0.1123046875
8,model_7,0.20124421296296297,0.2529296875,0.244140625,0.2421875,0.162109375,0.16796875,0.2763671875,0.263671875,0.24609375,0.1923828125,0.1845703125,0.203125,0.1689453125,0.244140625,0.16015625,0.1513671875,0.244140625,0.2216796875,0.2216796875,0.0927734375,0.220703125,0.2041015625,0.1435546875,0.1796875,0.0888671875,0.189453125,0.1953125,0.232421875,0.09765625,0.1748046875,0.212890625,0.26171875,0.1875,0.2900390625,0.16796875,0.21875,0.20703125,0.216796875,0.1806640625,0.1533203125,0.24609375,0.173828125,0.236328125,0.2822265625,0.19140625,0.2021484375,0.1767578125,0.158203125,0.255859375,0.1826171875,0.1884765625,0.2548828125,0.1123046875,0.2255859375,0.216796875,0.1123046875
9,model_8,0.2022388599537037,0.279296875,0.25390625,0.1962890625,0.1806640625,0.138671875,0.2236328125,0.21484375,0.2802734375,0.154296875,0.1708984375,0.24609375,0.1787109375,0.1826171875,0.130859375,0.150390625,0.2509765625,0.248046875,0.20703125,0.1044921875,0.2431640625,0.140625,0.171875,0.23828125,0.1591796875,0.263671875,0.20703125,0.1884765625,0.2177734375,0.1435546875,0.216796875,0.1943359375,0.2158203125,0.27734375,0.1875,0.228515625,0.212890625,0.21484375,0.2041015625,0.140625,0.234375,0.259765625,0.224609375,0.248046875,0.18359375,0.2041015625,0.185546875,0.1611328125,0.2109375,0.1923828125,0.2255859375,0.19921875,0.1474609375,0.1826171875,0.203125,0.1123046875
10,model_9,0.21126302083333334,0.23828125,0.2373046875,0.201171875,0.234375,0.2138671875,0.23828125,0.275390625,0.26171875,0.2041015625,0.193359375,0.1865234375,0.1962890625,0.25,0.14453125,0.1748046875,0.232421875,0.2529296875,0.2275390625,0.091796875,0.248046875,0.1865234375,0.1083984375,0.248046875,0.1953125,0.265625,0.185546875,0.212890625,0.2138671875,0.20703125,0.201171875,0.275390625,0.1904296875,0.2841796875,0.1875,0.23046875,0.2001953125,0.197265625,0.2392578125,0.20703125,0.171875,0.248046875,0.2353515625,0.267578125,0.2080078125,0.2509765625,0.1875,0.1220703125,0.197265625,0.205078125,0.189453125,0.2421875,0.1240234375,0.208984375,0.2109375,0.1123046875
