,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.28281636363636364,0.2979,0.271,0.2721,0.2932,0.2916,0.2953,0.2943,0.2885,0.2934,0.2939,0.2692,0.273,0.2678,0.2738,0.2676,0.2916,0.2947,0.2905,0.2874,0.2962,0.2706,0.252,0.2749,0.2776,0.2682,0.2728,0.2955,0.278,0.297,0.2911,0.2591,0.2966,0.2829,0.2962,0.2904,0.2715,0.293,0.2898,0.2869,0.2896,0.2966,0.2822,0.1998,0.2551,0.2966,0.2857,0.2885,0.296,0.287,0.2933,0.2841,0.2894,0.2958,0.2858,0.2823
1,model_0,0.197265625,0.2685546875,0.1640625,0.1611328125,0.1748046875,0.1923828125,0.1845703125,0.169921875,0.1826171875,0.2177734375,0.2021484375,0.1845703125,0.171875,0.15625,0.1044921875,0.1298828125,0.25390625,0.205078125,0.201171875,0.1845703125,0.236328125,0.1728515625,0.1181640625,0.1845703125,0.1865234375,0.2421875,0.2060546875,0.22265625,0.177734375,0.265625,0.1875,0.1533203125,0.2041015625,0.099609375,0.271484375,0.2333984375,0.1875,0.1884765625,0.2265625,0.232421875,0.2392578125,0.2724609375,0.1025390625,0.212890625,0.25,0.255859375,0.25390625,0.1796875,0.2197265625,0.236328125,0.171875,0.1337890625,0.2421875,0.240234375,0.1611328125,0.1708984375
2,model_1,0.22969487028301888,0.2685546875,0.173828125,0.169921875,0.2353515625,0.2578125,0.271484375,0.279296875,0.26953125,0.22265625,0.24609375,0.2119140625,0.189453125,0.189453125,0.2265625,0.15625,0.255859375,0.2548828125,0.2724609375,0.2421875,0.2470703125,0.19921875,0.267578125,0.1904296875,0.205078125,0.2294921875,0.220703125,0.212890625,0.2333984375,0.2666015625,0.205078125,0.1689453125,0.2548828125,0.1943359375,0.287109375,0.2568359375,0.240234375,0.1806640625,0.275390625,0.244140625,0.16796875,0.2529296875,0.16796875,0.212890625,0.25,0.25390625,0.2958984375,0.2392578125,0.27734375,0.216796875,0.2412109375,0.232421875,0.26171875,0.185546875,0.2548828125,0.15234375
3,model_2,0.24942880306603774,0.2890625,0.1953125,0.2197265625,0.2578125,0.2841796875,0.2705078125,0.2900390625,0.2578125,0.2451171875,0.2509765625,0.2275390625,0.216796875,0.20703125,0.21484375,0.2080078125,0.2578125,0.2841796875,0.2705078125,0.2626953125,0.2646484375,0.2041015625,0.2021484375,0.2333984375,0.2255859375,0.2490234375,0.2255859375,0.2392578125,0.2353515625,0.2685546875,0.2548828125,0.1943359375,0.2724609375,0.1630859375,0.298828125,0.2587890625,0.22265625,0.2822265625,0.2939453125,0.25390625,0.2529296875,0.283203125,0.2314453125,0.212890625,0.25,0.259765625,0.2998046875,0.2529296875,0.2705078125,0.25,0.244140625,0.23046875,0.294921875,0.275390625,0.2861328125,0.2353515625
4,model_3,0.25471698113207547,0.287109375,0.1982421875,0.208984375,0.251953125,0.28125,0.2861328125,0.2958984375,0.2822265625,0.25390625,0.267578125,0.232421875,0.2294921875,0.208984375,0.201171875,0.294921875,0.2666015625,0.2705078125,0.2734375,0.2734375,0.2802734375,0.2333984375,0.1923828125,0.26171875,0.2412109375,0.24609375,0.234375,0.2451171875,0.2392578125,0.27734375,0.2646484375,0.1640625,0.2666015625,0.166015625,0.298828125,0.26171875,0.2333984375,0.28125,0.298828125,0.26171875,0.2626953125,0.2841796875,0.23828125,0.212890625,0.25,0.259765625,0.298828125,0.2548828125,0.28125,0.24609375,0.23046875,0.220703125,0.294921875,0.2763671875,0.2880859375,0.2509765625
5,model_4,0.25936025943396224,0.2900390625,0.2373046875,0.220703125,0.265625,0.2861328125,0.29296875,0.2958984375,0.279296875,0.2578125,0.26953125,0.2353515625,0.2294921875,0.216796875,0.2041015625,0.2236328125,0.2646484375,0.2861328125,0.271484375,0.275390625,0.28515625,0.2431640625,0.1962890625,0.271484375,0.240234375,0.255859375,0.25390625,0.251953125,0.2421875,0.2783203125,0.26953125,0.193359375,0.2734375,0.212890625,0.294921875,0.2646484375,0.2509765625,0.259765625,0.2978515625,0.2646484375,0.259765625,0.2861328125,0.251953125,0.212890625,0.25,0.2646484375,0.302734375,0.2587890625,0.28515625,0.2587890625,0.2529296875,0.232421875,0.2958984375,0.291015625,0.283203125,0.2197265625
6,model_5,0.2617371757075472,0.291015625,0.2265625,0.23046875,0.263671875,0.287109375,0.291015625,0.2978515625,0.2822265625,0.25390625,0.2626953125,0.2197265625,0.2197265625,0.22265625,0.244140625,0.232421875,0.2587890625,0.294921875,0.2744140625,0.283203125,0.283203125,0.2412109375,0.2236328125,0.259765625,0.2470703125,0.2314453125,0.25390625,0.25390625,0.2421875,0.2783203125,0.255859375,0.1943359375,0.27734375,0.2431640625,0.2978515625,0.251953125,0.2587890625,0.2880859375,0.294921875,0.2607421875,0.263671875,0.29296875,0.2529296875,0.212890625,0.25,0.26171875,0.2939453125,0.2626953125,0.28125,0.26171875,0.2568359375,0.23046875,0.2978515625,0.291015625,0.2880859375,0.2626953125
7,model_6,0.2662883254716981,0.291015625,0.248046875,0.23046875,0.265625,0.291015625,0.291015625,0.3017578125,0.279296875,0.2587890625,0.2744140625,0.2509765625,0.228515625,0.2255859375,0.240234375,0.228515625,0.265625,0.296875,0.2744140625,0.28125,0.2783203125,0.2421875,0.2177734375,0.2685546875,0.251953125,0.2646484375,0.2705078125,0.2548828125,0.2529296875,0.283203125,0.2763671875,0.2060546875,0.2744140625,0.248046875,0.30078125,0.265625,0.2607421875,0.2900390625,0.294921875,0.2666015625,0.2666015625,0.2900390625,0.2548828125,0.212890625,0.25,0.2666015625,0.2978515625,0.26171875,0.2861328125,0.2548828125,0.2607421875,0.2373046875,0.298828125,0.2861328125,0.27734375,0.2822265625
8,model_7,0.2687389445754717,0.291015625,0.2431640625,0.2470703125,0.2646484375,0.291015625,0.2890625,0.3046875,0.28125,0.2587890625,0.275390625,0.24609375,0.2255859375,0.2158203125,0.2470703125,0.25,0.2587890625,0.2958984375,0.2744140625,0.2841796875,0.2890625,0.25390625,0.22265625,0.2724609375,0.2529296875,0.26953125,0.2646484375,0.2529296875,0.263671875,0.2783203125,0.2783203125,0.2119140625,0.279296875,0.2490234375,0.30078125,0.263671875,0.267578125,0.291015625,0.2978515625,0.2685546875,0.265625,0.28125,0.2578125,0.212890625,0.25,0.2685546875,0.3037109375,0.267578125,0.2880859375,0.265625,0.2705078125,0.23828125,0.298828125,0.2890625,0.2919921875,0.2841796875
9,model_8,0.269420695754717,0.291015625,0.25,0.2333984375,0.2646484375,0.2900390625,0.2939453125,0.2998046875,0.283203125,0.2626953125,0.2783203125,0.2548828125,0.2451171875,0.22265625,0.25390625,0.2412109375,0.2666015625,0.2958984375,0.27734375,0.283203125,0.2861328125,0.2451171875,0.2265625,0.2841796875,0.2587890625,0.2705078125,0.267578125,0.2578125,0.2529296875,0.2802734375,0.27734375,0.2119140625,0.2822265625,0.2451171875,0.2998046875,0.2666015625,0.267578125,0.294921875,0.2978515625,0.2685546875,0.265625,0.291015625,0.25390625,0.212890625,0.25,0.26953125,0.3037109375,0.2646484375,0.2880859375,0.2587890625,0.2587890625,0.23828125,0.298828125,0.291015625,0.29296875,0.2744140625
