,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.28139272727272724,0.2823,0.2948,0.2931,0.2933,0.2898,0.2932,0.2751,0.2953,0.2704,0.2923,0.2962,0.2869,0.286,0.293,0.2904,0.2677,0.2622,0.2917,0.2951,0.2535,0.273,0.2907,0.2922,0.2941,0.2648,0.2935,0.27,0.2965,0.2876,0.2509,0.2838,0.2721,0.2861,0.2757,0.2697,0.2953,0.2639,0.2954,0.2906,0.2678,0.289,0.2978,0.2924,0.29,0.2956,0.2611,0.2915,0.2978,0.2897,0.2952,0.1251,0.2554,0.2952,0.2903,0.2945
1,model_0,0.19705255681818182,0.1728515625,0.2158203125,0.1787109375,0.24609375,0.2412109375,0.189453125,0.201171875,0.26171875,0.201171875,0.169921875,0.25390625,0.2314453125,0.162109375,0.17578125,0.1494140625,0.17578125,0.1650390625,0.2431640625,0.24609375,0.25390625,0.208984375,0.1884765625,0.2802734375,0.1884765625,0.205078125,0.2646484375,0.1689453125,0.2490234375,0.177734375,0.15625,0.1455078125,0.13671875,0.240234375,0.111328125,0.17578125,0.2763671875,0.1162109375,0.2060546875,0.2294921875,0.1337890625,0.1796875,0.1572265625,0.17578125,0.2294921875,0.244140625,0.1689453125,0.19921875,0.1884765625,0.263671875,0.1611328125,0.1357421875,0.12109375,0.1953125,0.1904296875,0.2333984375
2,model_1,0.22882886202830188,0.2001953125,0.2412109375,0.2041015625,0.2734375,0.2529296875,0.189453125,0.21484375,0.2431640625,0.1767578125,0.20703125,0.23828125,0.244140625,0.23046875,0.25390625,0.232421875,0.2060546875,0.236328125,0.248046875,0.2666015625,0.25390625,0.1845703125,0.2421875,0.2919921875,0.26171875,0.1953125,0.263671875,0.2001953125,0.251953125,0.25390625,0.16796875,0.216796875,0.1962890625,0.208984375,0.2119140625,0.1552734375,0.2490234375,0.1787109375,0.26171875,0.1708984375,0.2265625,0.2578125,0.2783203125,0.1904296875,0.2470703125,0.2548828125,0.1767578125,0.251953125,0.265625,0.26953125,0.236328125,0.1357421875,0.1884765625,0.2548828125,0.263671875,0.2431640625
3,model_2,0.24928139740566038,0.1640625,0.248046875,0.271484375,0.2841796875,0.255859375,0.2763671875,0.1845703125,0.2841796875,0.2255859375,0.2275390625,0.2578125,0.2578125,0.2373046875,0.2783203125,0.267578125,0.22265625,0.2421875,0.275390625,0.2919921875,0.25390625,0.24609375,0.25390625,0.2939453125,0.2744140625,0.2177734375,0.28125,0.2080078125,0.2685546875,0.228515625,0.205078125,0.220703125,0.197265625,0.2431640625,0.2275390625,0.21484375,0.28125,0.26171875,0.265625,0.228515625,0.208984375,0.25390625,0.2783203125,0.2783203125,0.255859375,0.2607421875,0.212890625,0.2724609375,0.27734375,0.2783203125,0.2470703125,0.1357421875,0.2265625,0.2734375,0.2626953125,0.25390625
4,model_3,0.25466170400943394,0.232421875,0.298828125,0.2802734375,0.2841796875,0.2626953125,0.27734375,0.2255859375,0.2900390625,0.240234375,0.2236328125,0.275390625,0.2685546875,0.271484375,0.279296875,0.265625,0.2353515625,0.255859375,0.2802734375,0.2939453125,0.25390625,0.1943359375,0.2724609375,0.302734375,0.283203125,0.2158203125,0.2861328125,0.1875,0.2705078125,0.2548828125,0.212890625,0.234375,0.2216796875,0.232421875,0.2255859375,0.2177734375,0.2880859375,0.232421875,0.2685546875,0.23046875,0.1943359375,0.265625,0.2763671875,0.2783203125,0.248046875,0.265625,0.1884765625,0.2744140625,0.2724609375,0.2763671875,0.2568359375,0.1357421875,0.2265625,0.283203125,0.2607421875,0.2568359375
5,model_4,0.2610369988207547,0.255859375,0.3076171875,0.283203125,0.2919921875,0.263671875,0.275390625,0.2275390625,0.2958984375,0.2392578125,0.2333984375,0.2802734375,0.2744140625,0.2763671875,0.2763671875,0.267578125,0.2373046875,0.25390625,0.2822265625,0.2998046875,0.25390625,0.2490234375,0.267578125,0.2978515625,0.2802734375,0.23046875,0.2890625,0.2080078125,0.271484375,0.25,0.22265625,0.2412109375,0.22265625,0.2412109375,0.23828125,0.212890625,0.2900390625,0.265625,0.2744140625,0.2421875,0.2255859375,0.2548828125,0.283203125,0.279296875,0.2431640625,0.2685546875,0.2275390625,0.2802734375,0.2744140625,0.279296875,0.2529296875,0.1357421875,0.2314453125,0.2919921875,0.263671875,0.26171875
6,model_5,0.2603736733490566,0.259765625,0.30859375,0.283203125,0.2890625,0.2578125,0.28125,0.2236328125,0.2919921875,0.232421875,0.236328125,0.2763671875,0.271484375,0.2734375,0.28515625,0.265625,0.2294921875,0.251953125,0.28125,0.302734375,0.25390625,0.2412109375,0.2822265625,0.302734375,0.2734375,0.2177734375,0.2861328125,0.2255859375,0.2705078125,0.263671875,0.2236328125,0.2421875,0.2099609375,0.2421875,0.2353515625,0.205078125,0.2890625,0.2294921875,0.2763671875,0.2373046875,0.2314453125,0.271484375,0.2802734375,0.2841796875,0.255859375,0.2626953125,0.22265625,0.2763671875,0.27734375,0.275390625,0.255859375,0.1357421875,0.232421875,0.2890625,0.2666015625,0.2626953125
7,model_6,0.26486954599056606,0.2607421875,0.310546875,0.2822265625,0.2890625,0.2666015625,0.2734375,0.2333984375,0.2939453125,0.2421875,0.2392578125,0.28125,0.275390625,0.2783203125,0.2763671875,0.26953125,0.2568359375,0.255859375,0.283203125,0.302734375,0.25390625,0.2587890625,0.279296875,0.3017578125,0.2841796875,0.2451171875,0.287109375,0.23046875,0.271484375,0.2578125,0.2236328125,0.2529296875,0.23828125,0.2421875,0.2470703125,0.2255859375,0.2900390625,0.2626953125,0.2744140625,0.2421875,0.21484375,0.2734375,0.287109375,0.283203125,0.255859375,0.2685546875,0.220703125,0.2861328125,0.27734375,0.2802734375,0.2529296875,0.1357421875,0.23046875,0.2890625,0.263671875,0.2685546875
8,model_7,0.2650169516509434,0.2646484375,0.310546875,0.2802734375,0.291015625,0.267578125,0.2822265625,0.23828125,0.294921875,0.236328125,0.2431640625,0.283203125,0.271484375,0.279296875,0.2861328125,0.2646484375,0.236328125,0.2587890625,0.2822265625,0.3017578125,0.25390625,0.24609375,0.2841796875,0.3046875,0.283203125,0.240234375,0.2861328125,0.228515625,0.271484375,0.2666015625,0.232421875,0.24609375,0.2333984375,0.2451171875,0.244140625,0.208984375,0.29296875,0.2431640625,0.2783203125,0.2373046875,0.2392578125,0.2705078125,0.2861328125,0.28515625,0.2568359375,0.26953125,0.234375,0.2880859375,0.2763671875,0.28125,0.25390625,0.1357421875,0.232421875,0.2880859375,0.265625,0.2724609375
9,model_8,0.26704377948113206,0.2626953125,0.3095703125,0.27734375,0.2890625,0.2626953125,0.2822265625,0.2431640625,0.296875,0.2470703125,0.2421875,0.2841796875,0.2744140625,0.28125,0.2861328125,0.26953125,0.2451171875,0.2607421875,0.283203125,0.302734375,0.25390625,0.2548828125,0.283203125,0.29296875,0.28515625,0.234375,0.287109375,0.2314453125,0.271484375,0.263671875,0.2314453125,0.2529296875,0.2421875,0.244140625,0.25,0.23046875,0.294921875,0.271484375,0.2763671875,0.244140625,0.2431640625,0.2763671875,0.28515625,0.2841796875,0.2548828125,0.2724609375,0.236328125,0.2841796875,0.27734375,0.28125,0.25390625,0.1357421875,0.2412109375,0.291015625,0.267578125,0.26171875
