,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.3624327272727273,0.4006,0.3999,0.3573,0.4229,0.3334,0.3771,0.4101,0.3307,0.4206,0.4672,0.3177,0.4165,0.2843,0.3156,0.2917,0.3383,0.3541,0.3028,0.3177,0.3588,0.4034,0.3344,0.4026,0.2872,0.4159,0.2879,0.3106,0.3221,0.3842,0.3891,0.3001,0.408,0.4101,0.4034,0.3162,0.3583,0.4195,0.3595,0.327,0.2836,0.2691,0.4142,0.4291,0.3648,0.4221,0.2862,0.3733,0.341,0.3522,0.39,0.3522,0.298,0.3833,0.4445,0.4734
1,model_0,0.18694957386363636,0.15625,0.0986328125,0.1103515625,0.248046875,0.1904296875,0.1904296875,0.2353515625,0.24609375,0.193359375,0.0869140625,0.259765625,0.2314453125,0.1865234375,0.1611328125,0.2568359375,0.228515625,0.173828125,0.19140625,0.21484375,0.091796875,0.2626953125,0.181640625,0.2099609375,0.154296875,0.146484375,0.1396484375,0.21875,0.216796875,0.2412109375,0.1748046875,0.23828125,0.248046875,0.189453125,0.244140625,0.146484375,0.2333984375,0.251953125,0.20703125,0.119140625,0.2568359375,0.0869140625,0.1005859375,0.1767578125,0.0908203125,0.169921875,0.2138671875,0.17578125,0.0966796875,0.22265625,0.1640625,0.1533203125,0.203125,0.18359375,0.2158203125,0.1953125
2,model_1,0.13188920454545455,0.1640625,0.1279296875,0.08984375,0.0810546875,0.1025390625,0.0888671875,0.0986328125,0.09375,0.0859375,0.095703125,0.0888671875,0.095703125,0.087890625,0.087890625,0.0849609375,0.099609375,0.171875,0.0869140625,0.08984375,0.0947265625,0.0869140625,0.0927734375,0.091796875,0.1416015625,0.1005859375,0.1220703125,0.091796875,0.099609375,0.087890625,0.19921875,0.1318359375,0.234375,0.18359375,0.083984375,0.107421875,0.103515625,0.1640625,0.09765625,0.224609375,0.2021484375,0.099609375,0.130859375,0.203125,0.2138671875,0.171875,0.1123046875,0.2216796875,0.1142578125,0.19140625,0.1494140625,0.171875,0.2470703125,0.2314453125,0.0966796875,0.234375
3,model_2,0.16651278409090908,0.189453125,0.099609375,0.08984375,0.1044921875,0.103515625,0.228515625,0.181640625,0.09375,0.1279296875,0.09375,0.1171875,0.095703125,0.103515625,0.087890625,0.11328125,0.1875,0.095703125,0.18359375,0.1767578125,0.12890625,0.087890625,0.091796875,0.123046875,0.14453125,0.1005859375,0.134765625,0.1826171875,0.12890625,0.1845703125,0.25,0.1982421875,0.2568359375,0.1962890625,0.1201171875,0.1640625,0.255859375,0.267578125,0.1435546875,0.18359375,0.26171875,0.10546875,0.1826171875,0.2421875,0.181640625,0.22265625,0.2021484375,0.2177734375,0.1806640625,0.224609375,0.185546875,0.203125,0.2646484375,0.2548828125,0.1591796875,0.251953125
4,model_3,0.18718039772727274,0.1962890625,0.1474609375,0.08984375,0.1787109375,0.1865234375,0.1708984375,0.1611328125,0.103515625,0.13671875,0.1240234375,0.15234375,0.16796875,0.1064453125,0.087890625,0.0869140625,0.2314453125,0.1669921875,0.1875,0.1083984375,0.0947265625,0.25,0.0986328125,0.173828125,0.16796875,0.1005859375,0.216796875,0.2333984375,0.2001953125,0.1923828125,0.2041015625,0.236328125,0.2568359375,0.16015625,0.2314453125,0.138671875,0.2734375,0.259765625,0.201171875,0.2236328125,0.265625,0.134765625,0.1767578125,0.259765625,0.189453125,0.224609375,0.224609375,0.232421875,0.2412109375,0.2421875,0.197265625,0.205078125,0.2646484375,0.265625,0.21875,0.2470703125
5,model_4,0.19788707386363635,0.197265625,0.08984375,0.08984375,0.1181640625,0.17578125,0.169921875,0.1875,0.1494140625,0.1689453125,0.1357421875,0.095703125,0.0869140625,0.1435546875,0.1025390625,0.2255859375,0.240234375,0.1767578125,0.228515625,0.1748046875,0.1865234375,0.2666015625,0.1796875,0.1650390625,0.1728515625,0.173828125,0.1689453125,0.2265625,0.216796875,0.2578125,0.240234375,0.1904296875,0.2578125,0.2060546875,0.2333984375,0.162109375,0.2646484375,0.265625,0.1904296875,0.216796875,0.255859375,0.1484375,0.201171875,0.271484375,0.228515625,0.1953125,0.220703125,0.2373046875,0.244140625,0.2451171875,0.2041015625,0.2041015625,0.267578125,0.2568359375,0.240234375,0.263671875
6,model_5,0.21411576704545454,0.1845703125,0.08984375,0.109375,0.1728515625,0.18359375,0.16796875,0.1904296875,0.1083984375,0.1240234375,0.1826171875,0.2373046875,0.2275390625,0.1591796875,0.16015625,0.2666015625,0.232421875,0.1708984375,0.2314453125,0.2353515625,0.16796875,0.259765625,0.1318359375,0.23828125,0.1953125,0.2666015625,0.2041015625,0.25390625,0.181640625,0.240234375,0.2529296875,0.2734375,0.2578125,0.240234375,0.251953125,0.1953125,0.2734375,0.259765625,0.2353515625,0.2236328125,0.267578125,0.10546875,0.19921875,0.2734375,0.240234375,0.2216796875,0.2294921875,0.236328125,0.2470703125,0.2490234375,0.228515625,0.19921875,0.2705078125,0.2685546875,0.2578125,0.244140625
7,model_6,0.21466619318181818,0.169921875,0.1064453125,0.109375,0.14453125,0.193359375,0.224609375,0.2392578125,0.1484375,0.1162109375,0.1669921875,0.1923828125,0.2490234375,0.1259765625,0.1318359375,0.267578125,0.2001953125,0.185546875,0.2353515625,0.2607421875,0.18359375,0.2666015625,0.09375,0.2333984375,0.203125,0.267578125,0.20703125,0.26953125,0.2294921875,0.2568359375,0.2509765625,0.203125,0.2587890625,0.2470703125,0.25390625,0.1962890625,0.27734375,0.26953125,0.2451171875,0.2275390625,0.2587890625,0.1259765625,0.181640625,0.275390625,0.234375,0.2392578125,0.2158203125,0.2353515625,0.24609375,0.2509765625,0.2216796875,0.201171875,0.26953125,0.2666015625,0.24609375,0.2294921875
8,model_7,0.225,0.205078125,0.08984375,0.08984375,0.13671875,0.18359375,0.1826171875,0.2236328125,0.21875,0.1630859375,0.1796875,0.197265625,0.2548828125,0.212890625,0.158203125,0.2470703125,0.2470703125,0.265625,0.234375,0.2578125,0.1845703125,0.26171875,0.1591796875,0.2529296875,0.1982421875,0.2490234375,0.234375,0.26953125,0.25,0.2666015625,0.2373046875,0.251953125,0.259765625,0.25,0.2529296875,0.208984375,0.2802734375,0.267578125,0.240234375,0.2265625,0.2626953125,0.16796875,0.21484375,0.28125,0.2392578125,0.234375,0.232421875,0.2412109375,0.248046875,0.2548828125,0.1982421875,0.193359375,0.2724609375,0.271484375,0.23828125,0.2744140625
9,model_8,0.22537286931818182,0.201171875,0.08984375,0.1630859375,0.177734375,0.1904296875,0.1953125,0.2470703125,0.1865234375,0.201171875,0.154296875,0.140625,0.2587890625,0.1640625,0.1318359375,0.2666015625,0.2509765625,0.2265625,0.2451171875,0.2646484375,0.18359375,0.265625,0.1611328125,0.2421875,0.22265625,0.2685546875,0.234375,0.2666015625,0.25390625,0.271484375,0.2705078125,0.2685546875,0.251953125,0.25,0.255859375,0.203125,0.26953125,0.2646484375,0.248046875,0.234375,0.2685546875,0.130859375,0.220703125,0.28515625,0.2255859375,0.2314453125,0.2294921875,0.2412109375,0.2509765625,0.25390625,0.2138671875,0.2001953125,0.2763671875,0.267578125,0.2568359375,0.2001953125
10,model_9,0.2305575284090909,0.21484375,0.1318359375,0.0966796875,0.146484375,0.169921875,0.189453125,0.2001953125,0.2802734375,0.166015625,0.166015625,0.21484375,0.259765625,0.212890625,0.158203125,0.23046875,0.2529296875,0.26953125,0.2470703125,0.26953125,0.1865234375,0.265625,0.1396484375,0.259765625,0.2314453125,0.2490234375,0.2392578125,0.275390625,0.263671875,0.2734375,0.263671875,0.26953125,0.26171875,0.2568359375,0.2529296875,0.208984375,0.2763671875,0.2724609375,0.2431640625,0.22265625,0.271484375,0.138671875,0.2294921875,0.279296875,0.25,0.248046875,0.2275390625,0.244140625,0.251953125,0.2529296875,0.228515625,0.201171875,0.275390625,0.2705078125,0.2470703125,0.275390625
11,model_10,0.2327059659090909,0.2021484375,0.1025390625,0.09765625,0.2548828125,0.1962890625,0.220703125,0.1865234375,0.2470703125,0.1689453125,0.1748046875,0.248046875,0.24609375,0.2177734375,0.1767578125,0.2626953125,0.2578125,0.2470703125,0.2548828125,0.265625,0.1748046875,0.2685546875,0.140625,0.2509765625,0.23046875,0.26953125,0.2333984375,0.28125,0.259765625,0.275390625,0.2578125,0.2841796875,0.26171875,0.25,0.255859375,0.2158203125,0.279296875,0.2783203125,0.244140625,0.234375,0.2705078125,0.125,0.208984375,0.2861328125,0.224609375,0.2490234375,0.224609375,0.2412109375,0.25,0.2568359375,0.2294921875,0.2021484375,0.2646484375,0.267578125,0.2568359375,0.2666015625
12,model_11,0.23419744318181818,0.2099609375,0.1162109375,0.1484375,0.1533203125,0.193359375,0.240234375,0.244140625,0.28125,0.193359375,0.158203125,0.2412109375,0.263671875,0.244140625,0.1650390625,0.265625,0.26171875,0.201171875,0.2568359375,0.265625,0.2001953125,0.26953125,0.16796875,0.24609375,0.2333984375,0.26171875,0.234375,0.27734375,0.251953125,0.2724609375,0.2587890625,0.2724609375,0.2548828125,0.26171875,0.2529296875,0.1953125,0.2783203125,0.2734375,0.24609375,0.2314453125,0.267578125,0.1572265625,0.2177734375,0.2841796875,0.2412109375,0.2490234375,0.21875,0.2392578125,0.2529296875,0.255859375,0.21875,0.20703125,0.2607421875,0.2587890625,0.263671875,0.244140625
13,model_12,0.23996803977272727,0.22265625,0.1181640625,0.1494140625,0.267578125,0.1982421875,0.25390625,0.2177734375,0.2705078125,0.234375,0.1689453125,0.2451171875,0.2607421875,0.21875,0.193359375,0.2685546875,0.263671875,0.265625,0.2578125,0.267578125,0.216796875,0.267578125,0.134765625,0.26171875,0.228515625,0.26953125,0.236328125,0.283203125,0.263671875,0.2802734375,0.2763671875,0.271484375,0.2607421875,0.26171875,0.255859375,0.21875,0.283203125,0.2734375,0.248046875,0.2294921875,0.271484375,0.142578125,0.22265625,0.2802734375,0.2216796875,0.2421875,0.2314453125,0.23828125,0.25390625,0.2587890625,0.224609375,0.1826171875,0.2685546875,0.267578125,0.2626953125,0.2646484375
