,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.314249090909091,0.4408,0.4663,0.3843,0.1704,0.3895,0.3588,0.3238,0.4014,0.2296,0.2286,0.3127,0.4016,0.3837,0.2382,0.3661,0.3514,0.1603,0.2759,0.4387,0.3873,0.3747,0.4336,0.4026,0.36,0.3931,0.3884,0.1079,0.3274,0.24,0.2871,0.3534,0.2118,0.2436,0.2442,0.2,0.2348,0.3269,0.2793,0.1995,0.2528,0.2778,0.3626,0.3594,0.3861,0.147,0.3312,0.3052,0.2094,0.2811,0.3581,0.3086,0.3304,0.312,0.3561,0.3882
1,model_0,0.19953835227272726,0.1953125,0.2314453125,0.2607421875,0.169921875,0.171875,0.091796875,0.2265625,0.1220703125,0.2509765625,0.2392578125,0.2705078125,0.2080078125,0.2119140625,0.1943359375,0.20703125,0.158203125,0.2314453125,0.1279296875,0.2509765625,0.2509765625,0.1376953125,0.2314453125,0.18359375,0.1845703125,0.2822265625,0.142578125,0.181640625,0.2578125,0.2197265625,0.189453125,0.1123046875,0.248046875,0.1669921875,0.2236328125,0.2294921875,0.1962890625,0.2197265625,0.1982421875,0.189453125,0.2880859375,0.103515625,0.09375,0.150390625,0.173828125,0.28125,0.1748046875,0.1962890625,0.1708984375,0.2373046875,0.2060546875,0.2470703125,0.1787109375,0.2626953125,0.1494140625,0.1943359375
2,model_1,0.1827059659090909,0.1884765625,0.0986328125,0.1513671875,0.095703125,0.12890625,0.09375,0.2529296875,0.259765625,0.1015625,0.1640625,0.0947265625,0.2099609375,0.08984375,0.103515625,0.1044921875,0.126953125,0.1767578125,0.08984375,0.23828125,0.130859375,0.1083984375,0.189453125,0.2421875,0.25,0.197265625,0.2060546875,0.1064453125,0.1923828125,0.169921875,0.08984375,0.2333984375,0.1796875,0.30078125,0.0986328125,0.181640625,0.2626953125,0.1796875,0.21875,0.2529296875,0.28125,0.21875,0.2978515625,0.2021484375,0.232421875,0.1923828125,0.19140625,0.2060546875,0.1103515625,0.2646484375,0.1845703125,0.2568359375,0.2255859375,0.1748046875,0.31640625,0.1328125
3,model_2,0.1959872159090909,0.2216796875,0.0986328125,0.2158203125,0.095703125,0.185546875,0.1494140625,0.2529296875,0.2431640625,0.1962890625,0.0908203125,0.16796875,0.109375,0.08984375,0.224609375,0.1044921875,0.1083984375,0.162109375,0.17578125,0.259765625,0.26171875,0.2060546875,0.19140625,0.2529296875,0.2109375,0.1845703125,0.2041015625,0.140625,0.125,0.1953125,0.1416015625,0.1474609375,0.1708984375,0.2421875,0.1708984375,0.1806640625,0.2216796875,0.220703125,0.212890625,0.1455078125,0.2939453125,0.19140625,0.2587890625,0.2001953125,0.2900390625,0.26171875,0.2734375,0.2353515625,0.1796875,0.2080078125,0.185546875,0.2353515625,0.25390625,0.1796875,0.2578125,0.294921875
4,model_3,0.19085582386363636,0.234375,0.1044921875,0.1298828125,0.1142578125,0.181640625,0.1953125,0.203125,0.25,0.1962890625,0.0908203125,0.1826171875,0.1181640625,0.1357421875,0.1728515625,0.125,0.087890625,0.1494140625,0.1884765625,0.2421875,0.26171875,0.193359375,0.19140625,0.2548828125,0.1669921875,0.1806640625,0.16796875,0.19921875,0.240234375,0.197265625,0.08984375,0.1474609375,0.205078125,0.2099609375,0.248046875,0.181640625,0.22265625,0.236328125,0.16015625,0.1884765625,0.234375,0.1953125,0.2216796875,0.23046875,0.1953125,0.244140625,0.1953125,0.2021484375,0.24609375,0.2080078125,0.1826171875,0.2353515625,0.2265625,0.205078125,0.1318359375,0.296875
5,model_4,0.21198508522727272,0.265625,0.103515625,0.2275390625,0.099609375,0.11328125,0.19140625,0.2041015625,0.205078125,0.109375,0.12890625,0.1826171875,0.1181640625,0.1689453125,0.2353515625,0.162109375,0.087890625,0.1201171875,0.154296875,0.2568359375,0.26171875,0.2548828125,0.193359375,0.2099609375,0.162109375,0.1787109375,0.248046875,0.1767578125,0.205078125,0.2001953125,0.2197265625,0.1669921875,0.2685546875,0.2275390625,0.197265625,0.1923828125,0.2509765625,0.2509765625,0.15625,0.2822265625,0.244140625,0.265625,0.2626953125,0.2529296875,0.2978515625,0.232421875,0.345703125,0.2314453125,0.25390625,0.248046875,0.1806640625,0.2333984375,0.2890625,0.224609375,0.3642578125,0.2939453125
6,model_5,0.2193359375,0.2724609375,0.236328125,0.1044921875,0.1376953125,0.181640625,0.1533203125,0.26171875,0.2412109375,0.1611328125,0.1279296875,0.181640625,0.19921875,0.162109375,0.162109375,0.177734375,0.087890625,0.119140625,0.0888671875,0.2587890625,0.2607421875,0.1748046875,0.1953125,0.2158203125,0.2314453125,0.1806640625,0.2470703125,0.2197265625,0.205078125,0.2197265625,0.1396484375,0.19140625,0.24609375,0.2626953125,0.2021484375,0.1806640625,0.2265625,0.2744140625,0.2412109375,0.244140625,0.21484375,0.2373046875,0.2451171875,0.2939453125,0.3154296875,0.2734375,0.302734375,0.2138671875,0.330078125,0.2265625,0.197265625,0.271484375,0.2607421875,0.2900390625,0.4228515625,0.29296875
7,model_6,0.22191051136363638,0.2734375,0.076171875,0.287109375,0.1357421875,0.181640625,0.1796875,0.2626953125,0.25390625,0.173828125,0.1845703125,0.181640625,0.1982421875,0.2646484375,0.15625,0.1611328125,0.2197265625,0.1181640625,0.2001953125,0.19140625,0.259765625,0.201171875,0.19140625,0.2607421875,0.2548828125,0.177734375,0.255859375,0.1962890625,0.2060546875,0.1474609375,0.1552734375,0.2578125,0.2314453125,0.296875,0.1162109375,0.18359375,0.3291015625,0.2451171875,0.173828125,0.2890625,0.20703125,0.19921875,0.2939453125,0.2724609375,0.30859375,0.19921875,0.271484375,0.2177734375,0.1923828125,0.2119140625,0.1826171875,0.33203125,0.234375,0.298828125,0.359375,0.2939453125
8,model_7,0.22080965909090908,0.2451171875,0.076171875,0.248046875,0.1455078125,0.181640625,0.1083984375,0.2626953125,0.2578125,0.119140625,0.2353515625,0.181640625,0.19921875,0.23046875,0.15625,0.1943359375,0.2333984375,0.0908203125,0.123046875,0.1923828125,0.2626953125,0.2080078125,0.19140625,0.2158203125,0.2998046875,0.197265625,0.25,0.19140625,0.296875,0.21484375,0.203125,0.263671875,0.2841796875,0.2109375,0.212890625,0.2255859375,0.25390625,0.2470703125,0.2021484375,0.23046875,0.2509765625,0.2119140625,0.259765625,0.2890625,0.3193359375,0.2197265625,0.2724609375,0.21484375,0.2158203125,0.2080078125,0.1943359375,0.181640625,0.201171875,0.26953125,0.3955078125,0.296875
9,model_8,0.22453835227272728,0.2041015625,0.2099609375,0.1572265625,0.13671875,0.1875,0.2177734375,0.2607421875,0.25390625,0.234375,0.232421875,0.240234375,0.19140625,0.248046875,0.2939453125,0.1669921875,0.162109375,0.177734375,0.08984375,0.19140625,0.26171875,0.2724609375,0.1005859375,0.25,0.232421875,0.2109375,0.25390625,0.19140625,0.2060546875,0.2578125,0.2177734375,0.2392578125,0.2578125,0.208984375,0.2060546875,0.2412109375,0.2197265625,0.2421875,0.1865234375,0.212890625,0.27734375,0.234375,0.23046875,0.275390625,0.224609375,0.1982421875,0.2314453125,0.212890625,0.2392578125,0.2119140625,0.224609375,0.2568359375,0.208984375,0.2861328125,0.4140625,0.296875
