,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.36066000000000004,0.3548,0.3269,0.4164,0.3012,0.3016,0.4453,0.3332,0.397,0.286,0.2621,0.4258,0.3339,0.4054,0.3513,0.3771,0.3892,0.3392,0.446,0.3588,0.2954,0.3794,0.4229,0.3049,0.3726,0.2982,0.3859,0.3737,0.336,0.3631,0.3215,0.3284,0.4406,0.3621,0.379,0.4073,0.3835,0.3635,0.3882,0.378,0.3748,0.4564,0.3799,0.3618,0.2919,0.3659,0.4189,0.3869,0.3166,0.2996,0.3193,0.3383,0.3818,0.3021,0.3903,0.3164
1,model_0,0.20532670454545454,0.1826171875,0.26953125,0.166015625,0.263671875,0.259765625,0.2080078125,0.16796875,0.146484375,0.109375,0.1337890625,0.169921875,0.232421875,0.2412109375,0.197265625,0.24609375,0.1982421875,0.1796875,0.08984375,0.1728515625,0.2802734375,0.212890625,0.1943359375,0.2041015625,0.201171875,0.2646484375,0.2578125,0.236328125,0.2509765625,0.279296875,0.166015625,0.248046875,0.2919921875,0.2431640625,0.1552734375,0.244140625,0.15234375,0.2197265625,0.2509765625,0.1708984375,0.1669921875,0.18359375,0.1962890625,0.2109375,0.1826171875,0.2822265625,0.181640625,0.251953125,0.2958984375,0.25390625,0.1611328125,0.123046875,0.1162109375,0.1640625,0.19921875,0.1640625
2,model_1,0.18902698863636364,0.17578125,0.2587890625,0.0966796875,0.1015625,0.09375,0.18359375,0.1708984375,0.08984375,0.0830078125,0.15234375,0.1103515625,0.0966796875,0.1708984375,0.0986328125,0.171875,0.1083984375,0.0927734375,0.08203125,0.107421875,0.2001953125,0.1669921875,0.1904296875,0.240234375,0.1904296875,0.19921875,0.2666015625,0.25390625,0.267578125,0.2890625,0.21484375,0.2060546875,0.2578125,0.197265625,0.1591796875,0.232421875,0.1787109375,0.201171875,0.25390625,0.2333984375,0.2255859375,0.2080078125,0.251953125,0.177734375,0.138671875,0.296875,0.2109375,0.287109375,0.2890625,0.20703125,0.234375,0.177734375,0.2451171875,0.1728515625,0.236328125,0.1923828125
3,model_2,0.2106534090909091,0.185546875,0.2177734375,0.2041015625,0.1728515625,0.203125,0.1943359375,0.1826171875,0.11328125,0.0927734375,0.1533203125,0.0927734375,0.0888671875,0.240234375,0.1826171875,0.2080078125,0.169921875,0.1201171875,0.1904296875,0.1708984375,0.267578125,0.1904296875,0.205078125,0.2236328125,0.23828125,0.259765625,0.267578125,0.2578125,0.2685546875,0.2841796875,0.2509765625,0.095703125,0.255859375,0.251953125,0.16796875,0.2705078125,0.228515625,0.2470703125,0.26171875,0.2255859375,0.2138671875,0.228515625,0.2333984375,0.1787109375,0.1494140625,0.3017578125,0.25390625,0.2509765625,0.2666015625,0.2587890625,0.25,0.1923828125,0.240234375,0.185546875,0.2451171875,0.234375
4,model_3,0.22088068181818182,0.1787109375,0.2490234375,0.130859375,0.2841796875,0.2470703125,0.1962890625,0.1826171875,0.1787109375,0.0927734375,0.1640625,0.224609375,0.1708984375,0.2802734375,0.1806640625,0.1865234375,0.197265625,0.1533203125,0.1640625,0.1806640625,0.203125,0.2216796875,0.197265625,0.24609375,0.1923828125,0.275390625,0.2685546875,0.2529296875,0.267578125,0.2861328125,0.2568359375,0.126953125,0.271484375,0.251953125,0.1669921875,0.2568359375,0.2314453125,0.267578125,0.2333984375,0.2275390625,0.185546875,0.2578125,0.2431640625,0.2216796875,0.185546875,0.298828125,0.2578125,0.26953125,0.27734375,0.251953125,0.248046875,0.2353515625,0.2392578125,0.181640625,0.244140625,0.2060546875
5,model_4,0.21558948863636362,0.1845703125,0.22265625,0.095703125,0.10546875,0.197265625,0.2099609375,0.18359375,0.25,0.138671875,0.1533203125,0.111328125,0.1513671875,0.25,0.2275390625,0.232421875,0.189453125,0.1591796875,0.1767578125,0.1826171875,0.2314453125,0.28125,0.17578125,0.2431640625,0.2666015625,0.25390625,0.263671875,0.236328125,0.2626953125,0.2890625,0.2578125,0.138671875,0.2626953125,0.255859375,0.1591796875,0.2490234375,0.234375,0.2734375,0.267578125,0.228515625,0.2041015625,0.203125,0.19921875,0.1806640625,0.169921875,0.2978515625,0.25,0.2490234375,0.255859375,0.2744140625,0.2548828125,0.15234375,0.251953125,0.1982421875,0.2421875,0.220703125
6,model_5,0.22272727272727272,0.1943359375,0.248046875,0.2236328125,0.1943359375,0.19140625,0.193359375,0.1826171875,0.2451171875,0.1025390625,0.1552734375,0.1787109375,0.095703125,0.21875,0.181640625,0.2548828125,0.197265625,0.1484375,0.1396484375,0.19140625,0.2626953125,0.236328125,0.203125,0.2314453125,0.2666015625,0.267578125,0.267578125,0.2529296875,0.2626953125,0.287109375,0.2666015625,0.16015625,0.28515625,0.2529296875,0.1845703125,0.26171875,0.265625,0.275390625,0.2490234375,0.2294921875,0.2236328125,0.2294921875,0.234375,0.2294921875,0.1796875,0.2978515625,0.25,0.2734375,0.275390625,0.2685546875,0.25,0.1484375,0.2431640625,0.1748046875,0.24609375,0.2197265625
7,model_6,0.22373934659090908,0.1826171875,0.2080078125,0.1806640625,0.265625,0.2001953125,0.201171875,0.2001953125,0.244140625,0.16015625,0.150390625,0.1650390625,0.1494140625,0.2783203125,0.1845703125,0.2333984375,0.1982421875,0.1806640625,0.1416015625,0.1689453125,0.2646484375,0.2451171875,0.1708984375,0.2412109375,0.2509765625,0.2109375,0.26171875,0.2529296875,0.2626953125,0.283203125,0.251953125,0.138671875,0.26953125,0.2236328125,0.1962890625,0.2734375,0.2587890625,0.2744140625,0.2529296875,0.2099609375,0.24609375,0.2001953125,0.1865234375,0.208984375,0.154296875,0.30078125,0.251953125,0.2841796875,0.2734375,0.2734375,0.251953125,0.2412109375,0.25,0.21875,0.2412109375,0.2353515625
8,model_7,0.2266512784090909,0.1865234375,0.2529296875,0.17578125,0.1826171875,0.203125,0.1875,0.1826171875,0.248046875,0.0849609375,0.150390625,0.1455078125,0.1669921875,0.2734375,0.193359375,0.2265625,0.240234375,0.1455078125,0.19921875,0.1865234375,0.251953125,0.251953125,0.22265625,0.255859375,0.2177734375,0.2705078125,0.2724609375,0.255859375,0.2666015625,0.287109375,0.2685546875,0.1611328125,0.2802734375,0.255859375,0.1865234375,0.259765625,0.2646484375,0.283203125,0.1826171875,0.2109375,0.2568359375,0.2744140625,0.2177734375,0.2275390625,0.1787109375,0.298828125,0.251953125,0.287109375,0.2783203125,0.271484375,0.263671875,0.232421875,0.2490234375,0.216796875,0.2333984375,0.189453125
9,model_8,0.23421519886363637,0.1982421875,0.259765625,0.1845703125,0.25390625,0.203125,0.244140625,0.19140625,0.2255859375,0.1044921875,0.203125,0.21484375,0.1943359375,0.2822265625,0.2353515625,0.2421875,0.1767578125,0.177734375,0.1953125,0.1904296875,0.267578125,0.20703125,0.2099609375,0.2529296875,0.263671875,0.26953125,0.26953125,0.2568359375,0.2607421875,0.2841796875,0.2783203125,0.15625,0.2412109375,0.2509765625,0.1943359375,0.2724609375,0.265625,0.2763671875,0.2724609375,0.240234375,0.205078125,0.2568359375,0.2509765625,0.21875,0.1884765625,0.3017578125,0.2578125,0.28125,0.3037109375,0.263671875,0.2529296875,0.2177734375,0.2509765625,0.2158203125,0.24609375,0.2021484375
10,model_9,0.23148082386363636,0.177734375,0.2607421875,0.208984375,0.2841796875,0.255859375,0.1923828125,0.1767578125,0.2470703125,0.103515625,0.1474609375,0.1552734375,0.1826171875,0.2822265625,0.1845703125,0.2568359375,0.24609375,0.1513671875,0.181640625,0.185546875,0.240234375,0.2333984375,0.216796875,0.2529296875,0.265625,0.2802734375,0.2666015625,0.2578125,0.265625,0.2734375,0.26171875,0.162109375,0.27734375,0.251953125,0.193359375,0.25390625,0.2578125,0.2744140625,0.2744140625,0.21484375,0.251953125,0.271484375,0.1845703125,0.2275390625,0.1708984375,0.29296875,0.255859375,0.2822265625,0.3076171875,0.2734375,0.25390625,0.1953125,0.251953125,0.212890625,0.2412109375,0.2021484375
11,model_10,0.23139204545454545,0.197265625,0.2568359375,0.216796875,0.251953125,0.19921875,0.201171875,0.1923828125,0.2392578125,0.1298828125,0.16015625,0.1953125,0.171875,0.2685546875,0.2216796875,0.2490234375,0.1962890625,0.15234375,0.1513671875,0.1787109375,0.236328125,0.232421875,0.1376953125,0.255859375,0.2646484375,0.2734375,0.26953125,0.2607421875,0.26171875,0.2822265625,0.2890625,0.169921875,0.287109375,0.234375,0.185546875,0.2744140625,0.26953125,0.2734375,0.2724609375,0.2353515625,0.2529296875,0.2685546875,0.248046875,0.23828125,0.1572265625,0.2919921875,0.24609375,0.28515625,0.2900390625,0.26171875,0.2587890625,0.193359375,0.2470703125,0.201171875,0.24609375,0.244140625
12,model_11,0.23366477272727273,0.1982421875,0.263671875,0.201171875,0.2099609375,0.2099609375,0.1923828125,0.19140625,0.244140625,0.12109375,0.171875,0.166015625,0.1513671875,0.267578125,0.216796875,0.2509765625,0.244140625,0.17578125,0.2060546875,0.193359375,0.27734375,0.2607421875,0.2177734375,0.2578125,0.2509765625,0.2685546875,0.263671875,0.2587890625,0.265625,0.2666015625,0.27734375,0.2060546875,0.283203125,0.2451171875,0.1962890625,0.2646484375,0.2333984375,0.2763671875,0.27734375,0.2314453125,0.2265625,0.2734375,0.2314453125,0.2333984375,0.193359375,0.2998046875,0.2568359375,0.287109375,0.2841796875,0.2607421875,0.2626953125,0.17578125,0.244140625,0.19921875,0.2431640625,0.224609375
13,model_12,0.2346768465909091,0.177734375,0.2626953125,0.1923828125,0.22265625,0.2470703125,0.19921875,0.1943359375,0.23828125,0.10546875,0.1767578125,0.158203125,0.2119140625,0.28125,0.236328125,0.2568359375,0.2421875,0.1953125,0.19921875,0.2109375,0.279296875,0.2705078125,0.2158203125,0.2509765625,0.26953125,0.263671875,0.2685546875,0.26171875,0.2451171875,0.2890625,0.2578125,0.1865234375,0.26953125,0.2529296875,0.1533203125,0.2470703125,0.25390625,0.27734375,0.2744140625,0.2294921875,0.2431640625,0.2646484375,0.2294921875,0.23046875,0.1923828125,0.2900390625,0.2568359375,0.2880859375,0.2861328125,0.26171875,0.2578125,0.177734375,0.2529296875,0.1904296875,0.23828125,0.2216796875
14,model_13,0.2385653409090909,0.2001953125,0.2451171875,0.234375,0.2939453125,0.203125,0.25390625,0.1962890625,0.2529296875,0.1533203125,0.1845703125,0.1669921875,0.203125,0.279296875,0.2255859375,0.2548828125,0.234375,0.1572265625,0.197265625,0.1943359375,0.251953125,0.2841796875,0.173828125,0.251953125,0.248046875,0.26953125,0.263671875,0.2626953125,0.2626953125,0.287109375,0.2568359375,0.1845703125,0.263671875,0.255859375,0.1953125,0.25390625,0.2568359375,0.2763671875,0.220703125,0.2421875,0.2646484375,0.2724609375,0.248046875,0.2333984375,0.1875,0.302734375,0.2568359375,0.2890625,0.2890625,0.2705078125,0.259765625,0.2041015625,0.25,0.2177734375,0.24609375,0.236328125
