,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,global,0.310707619047619,0.2954,0.2839,0.2902,0.3564,0.2819,0.3412,0.4199,0.3377,0.2951,0.3038,0.3264,0.2562,0.2896,0.2921,0.2866,0.3307,0.3001,0.3488,0.2937,0.3738,0.3152,0.2955,0.2988,0.3282,0.2779,0.3349,0.3684,0.3118,0.2817,0.2364,0.3901,0.2856,0.2904,0.3251,0.2659,0.2768,0.3586,0.2974,0.2588,0.4064,0.2631,0.3718,0.3113,0.3115,0.3011,0.3439,0.2588,0.3232,0.2908,0.2965,0.3101,0.2958,0.3211,0.3783,0.3685,0.2962,0.2854,0.2599,0.297,0.2886,0.4333,0.2559,0.361,0.2865,0.2626,0.326,0.292,0.3227,0.287,0.3402,0.4026,0.2762,0.2997,0.2843,0.4183,0.2835,0.294,0.3034,0.327,0.3346,0.3241,0.2905,0.2803,0.3285,0.2775,0.2876,0.3134,0.3197,0.3078,0.2878,0.272,0.2725,0.3059,0.3253,0.3154,0.287,0.4024,0.3362,0.3089,0.3738,0.2404,0.1993,0.3061,0.302,0.2888
1,model_0,0.19880022321428573,0.2607421875,0.2353515625,0.267578125,0.1689453125,0.17578125,0.2353515625,0.1796875,0.2119140625,0.1982421875,0.1708984375,0.1142578125,0.173828125,0.1669921875,0.1748046875,0.21875,0.173828125,0.1064453125,0.16796875,0.2138671875,0.1796875,0.2177734375,0.2265625,0.2216796875,0.1826171875,0.212890625,0.1689453125,0.138671875,0.240234375,0.20703125,0.1787109375,0.2451171875,0.2421875,0.203125,0.169921875,0.1826171875,0.177734375,0.2607421875,0.2587890625,0.1318359375,0.1884765625,0.1484375,0.1337890625,0.158203125,0.2216796875,0.1005859375,0.1376953125,0.1787109375,0.087890625,0.271484375,0.138671875,0.2041015625,0.2265625,0.2490234375,0.173828125,0.1787109375,0.2568359375,0.1103515625,0.1953125,0.244140625,0.171875,0.236328125,0.1904296875,0.251953125,0.251953125,0.1611328125,0.173828125,0.2529296875,0.0947265625,0.2216796875,0.2216796875,0.2470703125,0.236328125,0.2734375,0.2353515625,0.1923828125,0.1767578125,0.2236328125,0.1728515625,0.1748046875,0.26953125,0.1796875,0.20703125,0.2724609375,0.201171875,0.2470703125,0.2373046875,0.1708984375,0.216796875,0.1767578125,0.265625,0.177734375,0.2734375,0.279296875,0.1494140625,0.1767578125,0.2578125,0.2177734375,0.14453125,0.25,0.0986328125,0.158203125,0.1767578125,0.251953125,0.2197265625,0.169921875
2,model_1,0.18727022058823528,0.0869140625,0.2001953125,0.19921875,0.083984375,0.0947265625,0.091796875,0.095703125,0.0986328125,0.095703125,0.0849609375,0.1611328125,0.091796875,0.11328125,0.1796875,0.185546875,0.1044921875,0.09375,0.1103515625,0.103515625,0.076171875,0.099609375,0.1904296875,0.146484375,0.1611328125,0.1826171875,0.109375,0.0927734375,0.232421875,0.2197265625,0.2080078125,0.1806640625,0.2763671875,0.177734375,0.158203125,0.1142578125,0.240234375,0.224609375,0.2578125,0.1826171875,0.14453125,0.189453125,0.1826171875,0.2421875,0.19140625,0.19140625,0.1240234375,0.1787109375,0.267578125,0.271484375,0.173828125,0.080078125,0.2607421875,0.2646484375,0.1044921875,0.208984375,0.1796875,0.1904296875,0.1982421875,0.158203125,0.2275390625,0.1904296875,0.1748046875,0.166015625,0.2802734375,0.19140625,0.18359375,0.2509765625,0.1650390625,0.2626953125,0.171875,0.259765625,0.20703125,0.2041015625,0.2138671875,0.2529296875,0.189453125,0.234375,0.1826171875,0.1875,0.2744140625,0.2431640625,0.2587890625,0.2724609375,0.2666015625,0.24609375,0.2099609375,0.2255859375,0.15625,0.2509765625,0.1005859375,0.1884765625,0.2734375,0.275390625,0.24609375,0.2802734375,0.259765625,0.2294921875,0.267578125,0.224609375,0.146484375,0.1904296875,0.1767578125,0.2216796875,0.2744140625,0.2587890625
3,model_2,0.2081322763480392,0.1796875,0.2353515625,0.26953125,0.0908203125,0.1865234375,0.091796875,0.09765625,0.1328125,0.1474609375,0.1904296875,0.08984375,0.1376953125,0.1982421875,0.1865234375,0.2490234375,0.2080078125,0.2109375,0.19921875,0.19921875,0.1767578125,0.1953125,0.23046875,0.2509765625,0.2275390625,0.25390625,0.099609375,0.09375,0.23828125,0.2138671875,0.1953125,0.25390625,0.2265625,0.1474609375,0.1259765625,0.2060546875,0.248046875,0.2626953125,0.25390625,0.171875,0.17578125,0.1796875,0.23046875,0.248046875,0.1962890625,0.193359375,0.17578125,0.1796875,0.2626953125,0.265625,0.228515625,0.158203125,0.27734375,0.2666015625,0.1416015625,0.150390625,0.1884765625,0.21875,0.2197265625,0.2431640625,0.2333984375,0.25,0.1767578125,0.19921875,0.25390625,0.2099609375,0.212890625,0.259765625,0.16015625,0.267578125,0.2412109375,0.2509765625,0.2421875,0.2021484375,0.2509765625,0.2431640625,0.244140625,0.232421875,0.1845703125,0.189453125,0.2734375,0.2587890625,0.1943359375,0.2724609375,0.19140625,0.185546875,0.2109375,0.232421875,0.189453125,0.232421875,0.208984375,0.1962890625,0.2734375,0.2705078125,0.2470703125,0.26953125,0.2685546875,0.2490234375,0.263671875,0.1884765625,0.0986328125,0.201171875,0.1767578125,0.201171875,0.275390625,0.244140625
4,model_3,0.216796875,0.1865234375,0.267578125,0.2294921875,0.107421875,0.1826171875,0.091796875,0.189453125,0.228515625,0.19921875,0.189453125,0.17578125,0.17578125,0.1806640625,0.23046875,0.1845703125,0.1953125,0.244140625,0.27734375,0.1865234375,0.1025390625,0.2578125,0.171875,0.18359375,0.2177734375,0.255859375,0.1240234375,0.2333984375,0.251953125,0.1865234375,0.2138671875,0.2578125,0.203125,0.1865234375,0.173828125,0.181640625,0.25,0.2626953125,0.2646484375,0.166015625,0.1767578125,0.1884765625,0.162109375,0.25,0.171875,0.099609375,0.087890625,0.1796875,0.2724609375,0.2822265625,0.2451171875,0.1513671875,0.251953125,0.2666015625,0.099609375,0.2431640625,0.2421875,0.1953125,0.232421875,0.232421875,0.23046875,0.2470703125,0.181640625,0.2490234375,0.2734375,0.2294921875,0.2265625,0.2822265625,0.1708984375,0.2626953125,0.2431640625,0.2578125,0.2587890625,0.259765625,0.2431640625,0.24609375,0.251953125,0.26171875,0.1826171875,0.2333984375,0.2734375,0.2626953125,0.228515625,0.2724609375,0.23046875,0.185546875,0.2138671875,0.193359375,0.24609375,0.25390625,0.2177734375,0.1943359375,0.2734375,0.275390625,0.236328125,0.2685546875,0.2646484375,0.2568359375,0.2626953125,0.2666015625,0.1650390625,0.171875,0.1767578125,0.2373046875,0.26953125,0.2470703125
5,model_4,0.21857766544117646,0.25390625,0.1962890625,0.2236328125,0.16796875,0.1962890625,0.1474609375,0.1416015625,0.2099609375,0.1962890625,0.1748046875,0.099609375,0.162109375,0.2080078125,0.26171875,0.1865234375,0.1513671875,0.2109375,0.2880859375,0.1787109375,0.1181640625,0.2216796875,0.2578125,0.2236328125,0.2197265625,0.2509765625,0.1220703125,0.1611328125,0.251953125,0.1865234375,0.1982421875,0.275390625,0.22265625,0.2099609375,0.16015625,0.2060546875,0.2451171875,0.2626953125,0.2509765625,0.1728515625,0.16015625,0.1796875,0.150390625,0.224609375,0.2158203125,0.171875,0.1435546875,0.1923828125,0.2705078125,0.2626953125,0.189453125,0.169921875,0.2822265625,0.2685546875,0.1240234375,0.177734375,0.263671875,0.208984375,0.2275390625,0.2744140625,0.2099609375,0.23046875,0.193359375,0.2705078125,0.2822265625,0.220703125,0.21875,0.2744140625,0.1689453125,0.26171875,0.234375,0.2626953125,0.2509765625,0.1904296875,0.2431640625,0.2626953125,0.26953125,0.271484375,0.181640625,0.234375,0.271484375,0.2578125,0.2490234375,0.2724609375,0.2744140625,0.185546875,0.2119140625,0.2294921875,0.2255859375,0.2529296875,0.240234375,0.2001953125,0.2734375,0.275390625,0.2568359375,0.26953125,0.2548828125,0.2451171875,0.26953125,0.265625,0.1787109375,0.169921875,0.1767578125,0.201171875,0.2734375,0.2724609375
6,model_5,0.22598805147058823,0.25390625,0.2568359375,0.2158203125,0.19140625,0.216796875,0.1875,0.1806640625,0.169921875,0.2431640625,0.2353515625,0.095703125,0.169921875,0.1796875,0.2734375,0.1845703125,0.2392578125,0.1982421875,0.2822265625,0.17578125,0.1806640625,0.259765625,0.2529296875,0.23828125,0.212890625,0.2529296875,0.1787109375,0.2255859375,0.255859375,0.1865234375,0.2216796875,0.2607421875,0.263671875,0.2060546875,0.181640625,0.185546875,0.234375,0.2607421875,0.2626953125,0.1728515625,0.1796875,0.201171875,0.185546875,0.23828125,0.2158203125,0.2373046875,0.1787109375,0.158203125,0.2685546875,0.283203125,0.2275390625,0.19140625,0.283203125,0.26953125,0.2685546875,0.2431640625,0.2646484375,0.2080078125,0.2294921875,0.2490234375,0.236328125,0.236328125,0.1806640625,0.2197265625,0.283203125,0.197265625,0.197265625,0.2734375,0.1669921875,0.2578125,0.2412109375,0.2607421875,0.2099609375,0.1787109375,0.2431640625,0.2626953125,0.2509765625,0.2421875,0.1796875,0.2373046875,0.26171875,0.2607421875,0.1884765625,0.2724609375,0.2783203125,0.197265625,0.2109375,0.2275390625,0.20703125,0.2548828125,0.2314453125,0.212890625,0.2734375,0.2861328125,0.2509765625,0.2568359375,0.2666015625,0.251953125,0.2744140625,0.2587890625,0.171875,0.1640625,0.1767578125,0.2353515625,0.2646484375,0.2568359375
7,model_6,0.22536573223039216,0.2578125,0.2548828125,0.203125,0.0888671875,0.1884765625,0.2021484375,0.10546875,0.1640625,0.1845703125,0.181640625,0.173828125,0.16015625,0.1806640625,0.265625,0.185546875,0.201171875,0.1982421875,0.2822265625,0.17578125,0.1484375,0.2568359375,0.1923828125,0.23046875,0.1728515625,0.248046875,0.1826171875,0.251953125,0.259765625,0.19140625,0.1943359375,0.2568359375,0.2734375,0.201171875,0.1767578125,0.2080078125,0.2490234375,0.259765625,0.2666015625,0.2158203125,0.2314453125,0.1943359375,0.2001953125,0.2373046875,0.1962890625,0.2021484375,0.1796875,0.181640625,0.265625,0.271484375,0.2197265625,0.1669921875,0.283203125,0.26953125,0.1904296875,0.173828125,0.2578125,0.2109375,0.2197265625,0.2421875,0.2373046875,0.25390625,0.2041015625,0.255859375,0.2841796875,0.23046875,0.2421875,0.2822265625,0.1875,0.2587890625,0.2236328125,0.2578125,0.248046875,0.2080078125,0.2509765625,0.2568359375,0.25,0.2734375,0.193359375,0.2421875,0.265625,0.216796875,0.2529296875,0.2724609375,0.2783203125,0.2607421875,0.2099609375,0.21875,0.24609375,0.2529296875,0.263671875,0.240234375,0.2734375,0.287109375,0.255859375,0.2607421875,0.2685546875,0.25,0.251953125,0.2705078125,0.1455078125,0.18359375,0.1767578125,0.267578125,0.267578125,0.24609375
8,model_7,0.22810393688725492,0.248046875,0.23046875,0.24609375,0.1220703125,0.1982421875,0.189453125,0.162109375,0.2333984375,0.1982421875,0.2373046875,0.1142578125,0.1826171875,0.1806640625,0.2783203125,0.185546875,0.201171875,0.2119140625,0.2587890625,0.2216796875,0.1845703125,0.275390625,0.2568359375,0.1943359375,0.232421875,0.2529296875,0.15625,0.1650390625,0.2587890625,0.236328125,0.1982421875,0.2724609375,0.2685546875,0.2001953125,0.1865234375,0.2060546875,0.248046875,0.2578125,0.259765625,0.1865234375,0.154296875,0.2060546875,0.1728515625,0.244140625,0.2197265625,0.212890625,0.205078125,0.1884765625,0.271484375,0.2822265625,0.2255859375,0.1796875,0.283203125,0.25,0.185546875,0.2421875,0.26171875,0.1826171875,0.21875,0.2373046875,0.236328125,0.2314453125,0.1796875,0.2802734375,0.287109375,0.228515625,0.23046875,0.2763671875,0.177734375,0.265625,0.251953125,0.2587890625,0.25,0.201171875,0.2412109375,0.2490234375,0.2724609375,0.236328125,0.1953125,0.236328125,0.2724609375,0.2587890625,0.1884765625,0.2724609375,0.279296875,0.2451171875,0.2646484375,0.236328125,0.228515625,0.2587890625,0.2548828125,0.2041015625,0.2734375,0.287109375,0.236328125,0.275390625,0.267578125,0.2568359375,0.263671875,0.2646484375,0.15625,0.1962890625,0.1767578125,0.2421875,0.2724609375,0.2490234375
9,model_8,0.23105277267156862,0.2509765625,0.2568359375,0.28125,0.1552734375,0.2275390625,0.201171875,0.1806640625,0.236328125,0.1923828125,0.2255859375,0.095703125,0.189453125,0.2373046875,0.2548828125,0.2568359375,0.19921875,0.2119140625,0.26171875,0.2138671875,0.1845703125,0.2353515625,0.2578125,0.2158203125,0.1923828125,0.2451171875,0.1923828125,0.1884765625,0.2646484375,0.19140625,0.2216796875,0.2626953125,0.2099609375,0.2216796875,0.166015625,0.1904296875,0.25,0.263671875,0.2666015625,0.1669921875,0.171875,0.2099609375,0.19921875,0.2109375,0.21484375,0.224609375,0.2041015625,0.1806640625,0.271484375,0.28515625,0.2294921875,0.201171875,0.283203125,0.2666015625,0.17578125,0.2119140625,0.2646484375,0.2060546875,0.2177734375,0.2646484375,0.25,0.259765625,0.1962890625,0.2763671875,0.287109375,0.234375,0.232421875,0.271484375,0.185546875,0.259765625,0.22265625,0.263671875,0.255859375,0.25,0.2451171875,0.2626953125,0.23828125,0.2734375,0.1845703125,0.248046875,0.267578125,0.2451171875,0.244140625,0.2724609375,0.28125,0.2607421875,0.22265625,0.20703125,0.1787109375,0.259765625,0.2451171875,0.2421875,0.2734375,0.2890625,0.2421875,0.2763671875,0.2685546875,0.2529296875,0.2626953125,0.2724609375,0.14453125,0.1923828125,0.1767578125,0.267578125,0.2763671875,0.259765625
