,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,global,0.2811542857142857,0.2963,0.2318,0.2716,0.2686,0.294,0.2832,0.2942,0.2648,0.293,0.296,0.2974,0.2935,0.2558,0.2913,0.2737,0.2918,0.2921,0.295,0.2637,0.2383,0.2739,0.2918,0.2868,0.2961,0.2873,0.2914,0.2827,0.2913,0.2956,0.291,0.2659,0.2968,0.2904,0.2743,0.2942,0.2904,0.287,0.273,0.2287,0.285,0.2922,0.2875,0.2665,0.2669,0.2672,0.2917,0.2978,0.2659,0.2863,0.2969,0.2915,0.2867,0.2263,0.2965,0.2936,0.2739,0.2939,0.2798,0.2926,0.2899,0.2962,0.2976,0.2898,0.2585,0.2404,0.2927,0.2789,0.2978,0.2883,0.2928,0.2841,0.296,0.2462,0.2876,0.2183,0.2916,0.2867,0.2925,0.2946,0.2704,0.2886,0.261,0.2611,0.2938,0.283,0.2812,0.2919,0.2896,0.2639,0.2817,0.2926,0.2927,0.2913,0.2528,0.2945,0.2857,0.2487,0.2916,0.2927,0.2854,0.2644,0.2817,0.2685,0.2855,0.293
1,model_0,0.19168526785714285,0.2744140625,0.1103515625,0.22265625,0.13671875,0.1923828125,0.154296875,0.189453125,0.1611328125,0.173828125,0.244140625,0.2431640625,0.1806640625,0.1669921875,0.2333984375,0.1826171875,0.2490234375,0.18359375,0.0908203125,0.1005859375,0.1689453125,0.1005859375,0.265625,0.2060546875,0.1923828125,0.2373046875,0.171875,0.1708984375,0.17578125,0.251953125,0.185546875,0.197265625,0.1376953125,0.1923828125,0.1640625,0.255859375,0.1640625,0.2138671875,0.173828125,0.1240234375,0.10546875,0.2783203125,0.1474609375,0.1826171875,0.1474609375,0.1435546875,0.2529296875,0.1953125,0.19921875,0.2177734375,0.2314453125,0.16015625,0.1708984375,0.177734375,0.2607421875,0.203125,0.158203125,0.1904296875,0.21875,0.255859375,0.23046875,0.2998046875,0.1982421875,0.1142578125,0.1611328125,0.119140625,0.1953125,0.16796875,0.1630859375,0.26171875,0.236328125,0.142578125,0.236328125,0.19140625,0.240234375,0.2216796875,0.1328125,0.15625,0.2431640625,0.171875,0.1884765625,0.21484375,0.2265625,0.2041015625,0.2255859375,0.2177734375,0.224609375,0.181640625,0.255859375,0.1455078125,0.1748046875,0.23828125,0.2255859375,0.1728515625,0.1552734375,0.111328125,0.2841796875,0.142578125,0.2255859375,0.1669921875,0.1865234375,0.189453125,0.1181640625,0.2197265625,0.2060546875,0.203125
2,model_1,0.22834660456730768,0.27734375,0.1318359375,0.2021484375,0.177734375,0.236328125,0.205078125,0.2236328125,0.203125,0.2373046875,0.263671875,0.2451171875,0.205078125,0.1630859375,0.263671875,0.1923828125,0.24609375,0.251953125,0.24609375,0.212890625,0.1611328125,0.2705078125,0.2568359375,0.21484375,0.2470703125,0.2587890625,0.2626953125,0.2119140625,0.17578125,0.2763671875,0.2626953125,0.2099609375,0.2333984375,0.248046875,0.2060546875,0.26953125,0.248046875,0.23828125,0.1904296875,0.255859375,0.248046875,0.291015625,0.251953125,0.1708984375,0.1591796875,0.19140625,0.2724609375,0.263671875,0.232421875,0.2607421875,0.2705078125,0.1591796875,0.234375,0.1630859375,0.2880859375,0.2275390625,0.193359375,0.2412109375,0.181640625,0.2431640625,0.224609375,0.2578125,0.2685546875,0.1875,0.16796875,0.251953125,0.2412109375,0.2109375,0.25390625,0.291015625,0.27734375,0.2353515625,0.22265625,0.119140625,0.265625,0.2216796875,0.27734375,0.19921875,0.28515625,0.240234375,0.216796875,0.25,0.251953125,0.1875,0.2568359375,0.2216796875,0.2275390625,0.19140625,0.2314453125,0.2412109375,0.1923828125,0.23828125,0.2607421875,0.263671875,0.1376953125,0.2529296875,0.263671875,0.2548828125,0.2197265625,0.2177734375,0.248046875,0.1611328125,0.248046875,0.2099609375,0.23046875,0.16796875
3,model_2,0.24872295673076922,0.2763671875,0.140625,0.23828125,0.224609375,0.2490234375,0.2685546875,0.2451171875,0.1767578125,0.2509765625,0.2919921875,0.267578125,0.2666015625,0.189453125,0.2626953125,0.212890625,0.275390625,0.2470703125,0.2626953125,0.2333984375,0.1806640625,0.28125,0.2705078125,0.2578125,0.27734375,0.271484375,0.26953125,0.23046875,0.248046875,0.27734375,0.275390625,0.201171875,0.2685546875,0.2509765625,0.23046875,0.2890625,0.259765625,0.2392578125,0.2109375,0.2470703125,0.2490234375,0.29296875,0.2607421875,0.203125,0.2177734375,0.228515625,0.28125,0.2744140625,0.2509765625,0.279296875,0.2890625,0.224609375,0.255859375,0.162109375,0.30078125,0.2392578125,0.216796875,0.25390625,0.216796875,0.2451171875,0.255859375,0.2958984375,0.2890625,0.263671875,0.2109375,0.2529296875,0.2734375,0.2275390625,0.2646484375,0.2919921875,0.2734375,0.2626953125,0.2626953125,0.1201171875,0.265625,0.2216796875,0.2822265625,0.2177734375,0.291015625,0.2529296875,0.2275390625,0.25,0.2373046875,0.185546875,0.275390625,0.255859375,0.2353515625,0.24609375,0.2568359375,0.251953125,0.25,0.265625,0.2734375,0.251953125,0.2607421875,0.2568359375,0.2822265625,0.255859375,0.2578125,0.2392578125,0.275390625,0.2099609375,0.2529296875,0.208984375,0.25390625,0.236328125
4,model_3,0.2510986328125,0.2900390625,0.138671875,0.251953125,0.2158203125,0.259765625,0.267578125,0.248046875,0.2197265625,0.25390625,0.294921875,0.267578125,0.2666015625,0.205078125,0.2685546875,0.205078125,0.2763671875,0.263671875,0.265625,0.220703125,0.1806640625,0.279296875,0.2734375,0.263671875,0.2763671875,0.265625,0.2724609375,0.2294921875,0.265625,0.275390625,0.271484375,0.193359375,0.2744140625,0.2529296875,0.236328125,0.2890625,0.259765625,0.2392578125,0.2255859375,0.234375,0.2744140625,0.2880859375,0.2431640625,0.2177734375,0.1923828125,0.212890625,0.2744140625,0.2744140625,0.2431640625,0.2734375,0.2890625,0.2216796875,0.2392578125,0.1630859375,0.302734375,0.2451171875,0.224609375,0.2626953125,0.23828125,0.251953125,0.240234375,0.287109375,0.291015625,0.2705078125,0.2080078125,0.2646484375,0.283203125,0.2861328125,0.2734375,0.2919921875,0.2861328125,0.2646484375,0.287109375,0.1103515625,0.259765625,0.2216796875,0.287109375,0.220703125,0.2939453125,0.2568359375,0.2255859375,0.2529296875,0.2548828125,0.201171875,0.2744140625,0.244140625,0.2568359375,0.2255859375,0.2587890625,0.2607421875,0.2451171875,0.2568359375,0.265625,0.255859375,0.1728515625,0.2509765625,0.291015625,0.259765625,0.26171875,0.240234375,0.2861328125,0.2158203125,0.2470703125,0.279296875,0.255859375,0.2412109375
5,model_4,0.2557560847355769,0.2919921875,0.16796875,0.24609375,0.216796875,0.2666015625,0.26953125,0.240234375,0.212890625,0.2578125,0.2978515625,0.26953125,0.2587890625,0.203125,0.2666015625,0.2080078125,0.2939453125,0.26171875,0.2587890625,0.2197265625,0.189453125,0.2763671875,0.2783203125,0.2705078125,0.283203125,0.2744140625,0.2666015625,0.25,0.263671875,0.2763671875,0.275390625,0.2119140625,0.279296875,0.2607421875,0.2421875,0.2900390625,0.2578125,0.234375,0.2451171875,0.2509765625,0.2744140625,0.2861328125,0.265625,0.2158203125,0.2177734375,0.2255859375,0.283203125,0.2724609375,0.2568359375,0.275390625,0.296875,0.23828125,0.2587890625,0.1474609375,0.3017578125,0.2412109375,0.24609375,0.2685546875,0.2333984375,0.2529296875,0.2587890625,0.287109375,0.2890625,0.271484375,0.2314453125,0.234375,0.2783203125,0.2900390625,0.275390625,0.2900390625,0.2880859375,0.2724609375,0.2841796875,0.12890625,0.2666015625,0.2216796875,0.2880859375,0.2158203125,0.296875,0.25390625,0.2294921875,0.251953125,0.25390625,0.18359375,0.283203125,0.265625,0.2607421875,0.24609375,0.2548828125,0.2529296875,0.263671875,0.2705078125,0.265625,0.263671875,0.1953125,0.26171875,0.2939453125,0.3212890625,0.2626953125,0.2451171875,0.2783203125,0.2177734375,0.2578125,0.2607421875,0.2646484375,0.2490234375
6,model_5,0.25794396033653844,0.291015625,0.1787109375,0.2490234375,0.2265625,0.267578125,0.27734375,0.263671875,0.2255859375,0.263671875,0.2978515625,0.2685546875,0.2705078125,0.2109375,0.2685546875,0.220703125,0.287109375,0.2685546875,0.2646484375,0.25,0.1904296875,0.2841796875,0.26953125,0.2685546875,0.2861328125,0.2724609375,0.2734375,0.251953125,0.263671875,0.2724609375,0.275390625,0.232421875,0.2783203125,0.259765625,0.2470703125,0.2861328125,0.2626953125,0.240234375,0.2431640625,0.244140625,0.2802734375,0.2958984375,0.2587890625,0.21875,0.2197265625,0.23046875,0.2880859375,0.2734375,0.25390625,0.2744140625,0.298828125,0.2294921875,0.25390625,0.1572265625,0.3125,0.2509765625,0.248046875,0.265625,0.2470703125,0.259765625,0.259765625,0.298828125,0.2900390625,0.2724609375,0.234375,0.2255859375,0.291015625,0.283203125,0.275390625,0.294921875,0.2890625,0.26953125,0.291015625,0.1103515625,0.267578125,0.2216796875,0.2880859375,0.224609375,0.296875,0.255859375,0.23046875,0.2509765625,0.2548828125,0.2001953125,0.27734375,0.255859375,0.26953125,0.255859375,0.26171875,0.263671875,0.2626953125,0.2705078125,0.275390625,0.267578125,0.2060546875,0.2734375,0.296875,0.2216796875,0.2578125,0.2451171875,0.2763671875,0.2216796875,0.248046875,0.27734375,0.2685546875,0.248046875
7,model_6,0.2595027043269231,0.2939453125,0.1572265625,0.25,0.234375,0.2705078125,0.271484375,0.263671875,0.2177734375,0.265625,0.2998046875,0.2685546875,0.26953125,0.2255859375,0.271484375,0.2294921875,0.296875,0.26953125,0.265625,0.2431640625,0.1982421875,0.287109375,0.2802734375,0.27734375,0.2822265625,0.275390625,0.271484375,0.2451171875,0.2626953125,0.275390625,0.2763671875,0.2236328125,0.2841796875,0.2646484375,0.240234375,0.29296875,0.2646484375,0.23828125,0.236328125,0.25,0.2783203125,0.2919921875,0.2626953125,0.220703125,0.2294921875,0.234375,0.2822265625,0.275390625,0.255859375,0.283203125,0.2978515625,0.2412109375,0.2607421875,0.1484375,0.3125,0.255859375,0.259765625,0.2705078125,0.2412109375,0.2529296875,0.2587890625,0.2998046875,0.2900390625,0.2724609375,0.2373046875,0.2265625,0.2841796875,0.2919921875,0.26953125,0.2919921875,0.2890625,0.2724609375,0.2939453125,0.1591796875,0.2724609375,0.2216796875,0.287109375,0.224609375,0.296875,0.259765625,0.2490234375,0.251953125,0.25390625,0.1806640625,0.2822265625,0.2685546875,0.271484375,0.2470703125,0.2626953125,0.25390625,0.2685546875,0.2705078125,0.2744140625,0.2646484375,0.2099609375,0.2734375,0.298828125,0.2236328125,0.2548828125,0.2451171875,0.28515625,0.216796875,0.2607421875,0.283203125,0.265625,0.2470703125
8,model_7,0.2615966796875,0.2880859375,0.1875,0.255859375,0.23046875,0.2763671875,0.27734375,0.2607421875,0.228515625,0.2705078125,0.2958984375,0.2705078125,0.2705078125,0.232421875,0.2705078125,0.2236328125,0.294921875,0.2724609375,0.2646484375,0.2568359375,0.1962890625,0.283203125,0.28125,0.275390625,0.2861328125,0.2734375,0.275390625,0.255859375,0.2587890625,0.2763671875,0.2744140625,0.240234375,0.28515625,0.265625,0.2509765625,0.2880859375,0.265625,0.2451171875,0.2373046875,0.2314453125,0.28125,0.2958984375,0.2607421875,0.21484375,0.2255859375,0.2353515625,0.287109375,0.2744140625,0.255859375,0.283203125,0.298828125,0.244140625,0.25390625,0.1533203125,0.314453125,0.2626953125,0.2607421875,0.2744140625,0.2412109375,0.2646484375,0.2607421875,0.3037109375,0.2919921875,0.2705078125,0.2373046875,0.2294921875,0.291015625,0.2861328125,0.275390625,0.2890625,0.2880859375,0.271484375,0.2890625,0.1923828125,0.275390625,0.2216796875,0.2900390625,0.2275390625,0.298828125,0.2626953125,0.2451171875,0.2529296875,0.255859375,0.19140625,0.283203125,0.2646484375,0.26953125,0.255859375,0.259765625,0.2666015625,0.263671875,0.275390625,0.2724609375,0.2666015625,0.216796875,0.2685546875,0.2958984375,0.224609375,0.263671875,0.2470703125,0.2822265625,0.2314453125,0.263671875,0.2783203125,0.2734375,0.25
9,model_8,0.2629957932692308,0.2890625,0.19140625,0.2578125,0.228515625,0.2724609375,0.2802734375,0.259765625,0.2353515625,0.267578125,0.3017578125,0.2705078125,0.2685546875,0.23046875,0.2724609375,0.2373046875,0.298828125,0.271484375,0.265625,0.2509765625,0.2060546875,0.2861328125,0.279296875,0.2763671875,0.2861328125,0.27734375,0.2734375,0.2548828125,0.2724609375,0.2734375,0.2783203125,0.2421875,0.283203125,0.2685546875,0.2421875,0.2919921875,0.2587890625,0.2451171875,0.2373046875,0.2373046875,0.2822265625,0.2919921875,0.263671875,0.2421875,0.2333984375,0.2421875,0.2890625,0.275390625,0.2568359375,0.279296875,0.298828125,0.244140625,0.259765625,0.1474609375,0.3125,0.2548828125,0.2578125,0.2724609375,0.2490234375,0.267578125,0.2587890625,0.2998046875,0.2900390625,0.2705078125,0.244140625,0.224609375,0.2939453125,0.2919921875,0.2724609375,0.2919921875,0.2880859375,0.2734375,0.2890625,0.2216796875,0.2744140625,0.2216796875,0.2880859375,0.2255859375,0.2978515625,0.26171875,0.255859375,0.251953125,0.2568359375,0.212890625,0.27734375,0.2685546875,0.267578125,0.2607421875,0.26171875,0.2626953125,0.2705078125,0.2705078125,0.275390625,0.265625,0.2275390625,0.2744140625,0.298828125,0.228515625,0.2607421875,0.24609375,0.283203125,0.2197265625,0.2578125,0.2841796875,0.2685546875,0.244140625
