,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,global,0.2831552380952381,0.298,0.292,0.2901,0.2758,0.2676,0.2899,0.2969,0.295,0.2742,0.2585,0.2922,0.2676,0.2899,0.2746,0.2705,0.2965,0.2907,0.2896,0.271,0.2653,0.2845,0.2921,0.2925,0.2939,0.2894,0.2675,0.2806,0.2923,0.2677,0.2911,0.2871,0.2975,0.2945,0.2948,0.2946,0.2961,0.2652,0.2911,0.2732,0.2889,0.2344,0.2929,0.267,0.2954,0.2402,0.2905,0.2653,0.2893,0.267,0.2847,0.2806,0.2901,0.2885,0.2781,0.2948,0.2968,0.2984,0.2958,0.2857,0.2809,0.2812,0.2983,0.2961,0.2903,0.2928,0.2851,0.2297,0.2956,0.2932,0.298,0.297,0.2927,0.2958,0.2861,0.2936,0.2962,0.2926,0.2663,0.2539,0.2598,0.2966,0.2886,0.2879,0.2787,0.2914,0.2945,0.2598,0.2901,0.2918,0.2969,0.2815,0.2921,0.2695,0.2293,0.2969,0.2962,0.2842,0.2945,0.2831,0.29,0.2651,0.2878,0.2502,0.294,0.2494
1,model_0,0.20676153273809525,0.21484375,0.259765625,0.248046875,0.14453125,0.19140625,0.20703125,0.2275390625,0.21875,0.1787109375,0.1416015625,0.1806640625,0.16796875,0.169921875,0.1669921875,0.1796875,0.1474609375,0.2724609375,0.18359375,0.15234375,0.162109375,0.1796875,0.232421875,0.2255859375,0.2734375,0.26171875,0.1845703125,0.181640625,0.23046875,0.171875,0.234375,0.2421875,0.255859375,0.2744140625,0.2529296875,0.1943359375,0.2724609375,0.2080078125,0.2578125,0.13671875,0.287109375,0.17578125,0.17578125,0.203125,0.2431640625,0.2265625,0.2109375,0.185546875,0.2490234375,0.08984375,0.21875,0.181640625,0.193359375,0.26953125,0.228515625,0.1904296875,0.23828125,0.283203125,0.27734375,0.123046875,0.203125,0.193359375,0.298828125,0.2626953125,0.1591796875,0.1904296875,0.2177734375,0.11328125,0.2197265625,0.2919921875,0.2490234375,0.244140625,0.171875,0.224609375,0.08203125,0.1787109375,0.173828125,0.1533203125,0.2001953125,0.15625,0.2275390625,0.236328125,0.18359375,0.2109375,0.1123046875,0.1884765625,0.2587890625,0.1845703125,0.232421875,0.2080078125,0.2373046875,0.21484375,0.251953125,0.11328125,0.130859375,0.236328125,0.2587890625,0.2431640625,0.2783203125,0.177734375,0.1884765625,0.21484375,0.2431640625,0.203125,0.205078125,0.1484375
2,model_1,0.23803013392857142,0.23828125,0.2431640625,0.23828125,0.1484375,0.2041015625,0.255859375,0.251953125,0.2685546875,0.177734375,0.24609375,0.2001953125,0.21484375,0.2646484375,0.234375,0.2138671875,0.2607421875,0.2890625,0.251953125,0.177734375,0.1904296875,0.275390625,0.2177734375,0.271484375,0.2177734375,0.2734375,0.2490234375,0.201171875,0.2587890625,0.1953125,0.2509765625,0.2412109375,0.25390625,0.2646484375,0.220703125,0.2158203125,0.25390625,0.1708984375,0.2548828125,0.1865234375,0.30078125,0.1904296875,0.201171875,0.1728515625,0.267578125,0.2080078125,0.2587890625,0.18359375,0.26953125,0.302734375,0.265625,0.2099609375,0.2578125,0.263671875,0.2451171875,0.2763671875,0.2333984375,0.275390625,0.3017578125,0.1865234375,0.220703125,0.2431640625,0.29296875,0.2529296875,0.244140625,0.2861328125,0.26171875,0.216796875,0.2490234375,0.2861328125,0.2392578125,0.265625,0.228515625,0.2451171875,0.2705078125,0.2802734375,0.302734375,0.1787109375,0.2060546875,0.2099609375,0.2275390625,0.224609375,0.23046875,0.2548828125,0.1806640625,0.232421875,0.265625,0.2783203125,0.2783203125,0.234375,0.2529296875,0.1533203125,0.2734375,0.2021484375,0.1728515625,0.25390625,0.2568359375,0.2509765625,0.2626953125,0.2607421875,0.2509765625,0.2158203125,0.2373046875,0.1826171875,0.2763671875,0.1875
3,model_2,0.2537202380952381,0.2509765625,0.2900390625,0.2568359375,0.103515625,0.23046875,0.2470703125,0.2607421875,0.2734375,0.212890625,0.2431640625,0.21875,0.1923828125,0.2666015625,0.2568359375,0.216796875,0.2763671875,0.29296875,0.259765625,0.205078125,0.2294921875,0.271484375,0.2470703125,0.275390625,0.2822265625,0.275390625,0.236328125,0.21875,0.26171875,0.2275390625,0.287109375,0.2421875,0.2626953125,0.27734375,0.2578125,0.2978515625,0.29296875,0.2197265625,0.2685546875,0.173828125,0.306640625,0.189453125,0.197265625,0.24609375,0.2841796875,0.259765625,0.255859375,0.181640625,0.2763671875,0.291015625,0.263671875,0.2568359375,0.2666015625,0.267578125,0.2587890625,0.28515625,0.2470703125,0.2998046875,0.296875,0.25390625,0.2275390625,0.2216796875,0.3056640625,0.2802734375,0.267578125,0.3046875,0.2763671875,0.251953125,0.263671875,0.3115234375,0.259765625,0.26953125,0.2333984375,0.2568359375,0.2734375,0.27734375,0.3076171875,0.2490234375,0.234375,0.21484375,0.25,0.259765625,0.23046875,0.271484375,0.2607421875,0.2490234375,0.2705078125,0.267578125,0.2685546875,0.2529296875,0.29296875,0.181640625,0.2861328125,0.2177734375,0.1806640625,0.25390625,0.2724609375,0.2802734375,0.27734375,0.2568359375,0.2421875,0.234375,0.2568359375,0.2177734375,0.291015625,0.185546875
4,model_3,0.2595331101190476,0.24609375,0.291015625,0.2568359375,0.2041015625,0.220703125,0.2783203125,0.279296875,0.2744140625,0.185546875,0.2451171875,0.263671875,0.2109375,0.2587890625,0.2685546875,0.21875,0.2783203125,0.298828125,0.259765625,0.21484375,0.2509765625,0.2802734375,0.2626953125,0.2861328125,0.291015625,0.2685546875,0.2529296875,0.232421875,0.2880859375,0.224609375,0.2783203125,0.2509765625,0.2763671875,0.2734375,0.2607421875,0.2939453125,0.2841796875,0.2294921875,0.2685546875,0.1962890625,0.3076171875,0.1865234375,0.2841796875,0.2490234375,0.2724609375,0.240234375,0.259765625,0.2158203125,0.291015625,0.2041015625,0.271484375,0.2578125,0.263671875,0.27734375,0.2548828125,0.2822265625,0.2470703125,0.2998046875,0.30859375,0.25,0.2392578125,0.2529296875,0.3076171875,0.2880859375,0.271484375,0.3056640625,0.275390625,0.232421875,0.251953125,0.31640625,0.2548828125,0.26953125,0.2431640625,0.2744140625,0.2900390625,0.2783203125,0.3095703125,0.2412109375,0.248046875,0.205078125,0.240234375,0.259765625,0.2373046875,0.2744140625,0.2783203125,0.236328125,0.2724609375,0.25390625,0.2861328125,0.2646484375,0.294921875,0.2314453125,0.2890625,0.2373046875,0.1796875,0.255859375,0.2724609375,0.2734375,0.283203125,0.263671875,0.259765625,0.2421875,0.271484375,0.224609375,0.2822265625,0.203125
5,model_4,0.26270461309523807,0.2509765625,0.294921875,0.2548828125,0.2431640625,0.2177734375,0.28515625,0.287109375,0.2783203125,0.2294921875,0.2509765625,0.251953125,0.189453125,0.2666015625,0.2587890625,0.21875,0.2822265625,0.2978515625,0.2509765625,0.216796875,0.2470703125,0.2919921875,0.263671875,0.2900390625,0.2939453125,0.27734375,0.2568359375,0.23828125,0.287109375,0.234375,0.2900390625,0.2529296875,0.2783203125,0.2763671875,0.2548828125,0.2841796875,0.2958984375,0.23046875,0.2734375,0.19921875,0.3056640625,0.177734375,0.287109375,0.2509765625,0.2900390625,0.26953125,0.2607421875,0.251953125,0.2880859375,0.2109375,0.26953125,0.2666015625,0.2587890625,0.27734375,0.263671875,0.2890625,0.2568359375,0.2998046875,0.3115234375,0.2568359375,0.2392578125,0.2548828125,0.3056640625,0.2939453125,0.271484375,0.2958984375,0.279296875,0.2109375,0.2724609375,0.30859375,0.267578125,0.26953125,0.2548828125,0.27734375,0.2587890625,0.2783203125,0.314453125,0.251953125,0.2568359375,0.2197265625,0.248046875,0.2626953125,0.248046875,0.27734375,0.2763671875,0.2548828125,0.2734375,0.2548828125,0.28515625,0.26953125,0.2861328125,0.2236328125,0.291015625,0.234375,0.1806640625,0.255859375,0.2783203125,0.279296875,0.275390625,0.2548828125,0.259765625,0.2392578125,0.271484375,0.236328125,0.29296875,0.20703125
6,model_5,0.26559709821428573,0.2490234375,0.2958984375,0.2607421875,0.2509765625,0.24609375,0.2783203125,0.2841796875,0.2841796875,0.2216796875,0.2431640625,0.26953125,0.201171875,0.267578125,0.2666015625,0.2177734375,0.2841796875,0.2998046875,0.2626953125,0.2412109375,0.25,0.2841796875,0.2587890625,0.2890625,0.3037109375,0.2783203125,0.2548828125,0.2421875,0.29296875,0.2294921875,0.2900390625,0.255859375,0.2802734375,0.27734375,0.2548828125,0.2978515625,0.2880859375,0.2412109375,0.2724609375,0.2333984375,0.3017578125,0.193359375,0.279296875,0.2421875,0.294921875,0.2724609375,0.263671875,0.255859375,0.294921875,0.2138671875,0.279296875,0.259765625,0.2666015625,0.2822265625,0.2685546875,0.2939453125,0.2548828125,0.302734375,0.3115234375,0.2646484375,0.2392578125,0.259765625,0.306640625,0.2939453125,0.2705078125,0.3037109375,0.28515625,0.2451171875,0.271484375,0.3173828125,0.26171875,0.2705078125,0.24609375,0.2744140625,0.2666015625,0.2802734375,0.3154296875,0.2529296875,0.259765625,0.2236328125,0.2412109375,0.26171875,0.24609375,0.279296875,0.26953125,0.251953125,0.275390625,0.251953125,0.2861328125,0.275390625,0.2900390625,0.23828125,0.2890625,0.232421875,0.201171875,0.2548828125,0.2744140625,0.2822265625,0.2900390625,0.244140625,0.26171875,0.2421875,0.275390625,0.232421875,0.2939453125,0.2060546875
7,model_6,0.26747581845238094,0.2490234375,0.2978515625,0.2578125,0.2392578125,0.2421875,0.28515625,0.2783203125,0.2841796875,0.22265625,0.25390625,0.2705078125,0.2392578125,0.265625,0.2802734375,0.232421875,0.2861328125,0.302734375,0.255859375,0.220703125,0.23828125,0.2978515625,0.2666015625,0.291015625,0.3017578125,0.279296875,0.240234375,0.24609375,0.296875,0.2353515625,0.2900390625,0.2529296875,0.279296875,0.2763671875,0.2568359375,0.2978515625,0.296875,0.240234375,0.26953125,0.23046875,0.3115234375,0.189453125,0.287109375,0.2548828125,0.2880859375,0.2744140625,0.259765625,0.2548828125,0.298828125,0.2109375,0.2763671875,0.265625,0.2607421875,0.2802734375,0.2607421875,0.2958984375,0.2568359375,0.3017578125,0.30859375,0.2607421875,0.2353515625,0.2578125,0.3115234375,0.2939453125,0.2705078125,0.3046875,0.28515625,0.2783203125,0.263671875,0.3173828125,0.263671875,0.2705078125,0.2509765625,0.28125,0.26171875,0.283203125,0.3154296875,0.2568359375,0.2666015625,0.2177734375,0.2373046875,0.2626953125,0.251953125,0.2783203125,0.2783203125,0.2568359375,0.2724609375,0.275390625,0.287109375,0.275390625,0.296875,0.236328125,0.2919921875,0.24609375,0.208984375,0.2578125,0.2783203125,0.283203125,0.2939453125,0.248046875,0.2578125,0.2451171875,0.271484375,0.255859375,0.294921875,0.2109375
8,model_7,0.27051711309523807,0.2490234375,0.30078125,0.2587890625,0.259765625,0.2568359375,0.2861328125,0.287109375,0.28515625,0.2275390625,0.2587890625,0.275390625,0.240234375,0.26171875,0.2744140625,0.2392578125,0.28125,0.30078125,0.26171875,0.234375,0.2734375,0.291015625,0.2666015625,0.2900390625,0.310546875,0.2763671875,0.2646484375,0.251953125,0.3037109375,0.236328125,0.2900390625,0.26171875,0.28125,0.27734375,0.2587890625,0.2978515625,0.2978515625,0.236328125,0.2724609375,0.232421875,0.3056640625,0.2001953125,0.2841796875,0.236328125,0.294921875,0.2958984375,0.2646484375,0.25390625,0.296875,0.23046875,0.2841796875,0.267578125,0.267578125,0.283203125,0.267578125,0.2958984375,0.259765625,0.3017578125,0.3095703125,0.2666015625,0.2421875,0.2578125,0.3115234375,0.294921875,0.271484375,0.3056640625,0.2841796875,0.2587890625,0.2744140625,0.3173828125,0.2666015625,0.26953125,0.25390625,0.2822265625,0.2607421875,0.28125,0.3173828125,0.2529296875,0.2734375,0.21484375,0.2490234375,0.26171875,0.2548828125,0.279296875,0.28125,0.2548828125,0.27734375,0.322265625,0.28515625,0.2802734375,0.3046875,0.2431640625,0.2890625,0.23828125,0.208984375,0.255859375,0.2822265625,0.28125,0.291015625,0.2626953125,0.259765625,0.2412109375,0.271484375,0.2568359375,0.29296875,0.2109375
9,model_8,0.26981026785714285,0.25,0.298828125,0.26171875,0.2529296875,0.2197265625,0.2861328125,0.2880859375,0.283203125,0.236328125,0.251953125,0.2763671875,0.2197265625,0.2705078125,0.283203125,0.248046875,0.2841796875,0.302734375,0.2607421875,0.2373046875,0.2763671875,0.294921875,0.263671875,0.2900390625,0.3095703125,0.279296875,0.2490234375,0.2451171875,0.3037109375,0.2265625,0.294921875,0.2607421875,0.2783203125,0.2763671875,0.2607421875,0.294921875,0.296875,0.2509765625,0.2724609375,0.2392578125,0.310546875,0.201171875,0.2861328125,0.2470703125,0.2900390625,0.240234375,0.2607421875,0.2568359375,0.296875,0.22265625,0.283203125,0.2724609375,0.267578125,0.2822265625,0.26953125,0.294921875,0.2578125,0.3017578125,0.3037109375,0.265625,0.2451171875,0.2607421875,0.3115234375,0.294921875,0.2724609375,0.306640625,0.2880859375,0.267578125,0.2724609375,0.3154296875,0.267578125,0.26953125,0.2626953125,0.2802734375,0.26171875,0.279296875,0.3173828125,0.2578125,0.2705078125,0.2216796875,0.2509765625,0.263671875,0.2607421875,0.28125,0.27734375,0.2646484375,0.275390625,0.2919921875,0.2861328125,0.2763671875,0.3037109375,0.2490234375,0.291015625,0.2451171875,0.2099609375,0.255859375,0.279296875,0.2822265625,0.2900390625,0.23828125,0.259765625,0.2421875,0.2734375,0.2626953125,0.296875,0.2119140625
