,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.2794054545454545,0.2967,0.2929,0.2895,0.2867,0.2728,0.2598,0.2941,0.2664,0.2959,0.2943,0.2702,0.2908,0.2925,0.2968,0.2684,0.2588,0.2914,0.2492,0.2976,0.2896,0.2908,0.2894,0.2946,0.2469,0.2947,0.2897,0.2907,0.2635,0.2869,0.2981,0.2966,0.2925,0.2885,0.2875,0.2866,0.2929,0.2617,0.2637,0.2955,0.2399,0.2733,0.2702,0.2442,0.2146,0.2325,0.2919,0.2716,0.2861,0.2856,0.2945,0.2959,0.2857,0.2962,0.2879,0.232
1,model_0,0.19556107954545454,0.24609375,0.236328125,0.189453125,0.216796875,0.1875,0.09765625,0.1728515625,0.1552734375,0.2158203125,0.2412109375,0.203125,0.1904296875,0.1220703125,0.1875,0.158203125,0.1259765625,0.26171875,0.091796875,0.2763671875,0.1767578125,0.1708984375,0.2060546875,0.2783203125,0.1513671875,0.240234375,0.2119140625,0.2666015625,0.0849609375,0.1103515625,0.23828125,0.2587890625,0.23046875,0.1943359375,0.2333984375,0.1884765625,0.2685546875,0.0986328125,0.2177734375,0.2587890625,0.15234375,0.10546875,0.2216796875,0.234375,0.171875,0.1083984375,0.26953125,0.1826171875,0.2431640625,0.154296875,0.2373046875,0.240234375,0.18359375,0.24609375,0.224609375,0.119140625
2,model_1,0.2299712558962264,0.2666015625,0.287109375,0.259765625,0.2529296875,0.2265625,0.1982421875,0.212890625,0.16796875,0.3046875,0.2724609375,0.185546875,0.2275390625,0.2001953125,0.2724609375,0.2060546875,0.14453125,0.2490234375,0.197265625,0.279296875,0.24609375,0.2421875,0.21875,0.259765625,0.2626953125,0.25390625,0.244140625,0.255859375,0.205078125,0.28125,0.271484375,0.2412109375,0.2431640625,0.255859375,0.2353515625,0.2255859375,0.2236328125,0.1875,0.2138671875,0.244140625,0.1904296875,0.0771484375,0.197265625,0.234375,0.171875,0.095703125,0.263671875,0.20703125,0.265625,0.228515625,0.2373046875,0.2666015625,0.2314453125,0.255859375,0.251953125,0.197265625
3,model_2,0.24911556603773585,0.283203125,0.2919921875,0.28125,0.2548828125,0.2529296875,0.2509765625,0.2294921875,0.193359375,0.3037109375,0.2880859375,0.2314453125,0.23828125,0.2626953125,0.2744140625,0.2060546875,0.16796875,0.259765625,0.2158203125,0.28515625,0.25,0.244140625,0.2333984375,0.2841796875,0.2158203125,0.2705078125,0.28515625,0.26953125,0.2060546875,0.2919921875,0.2744140625,0.283203125,0.251953125,0.2578125,0.2548828125,0.2314453125,0.283203125,0.2109375,0.2255859375,0.2666015625,0.1923828125,0.2041015625,0.236328125,0.234375,0.171875,0.1640625,0.275390625,0.220703125,0.2802734375,0.2353515625,0.2578125,0.2724609375,0.2578125,0.2607421875,0.28125,0.2021484375
4,model_3,0.2503132370283019,0.2744140625,0.30078125,0.2802734375,0.2705078125,0.2333984375,0.259765625,0.2421875,0.1826171875,0.306640625,0.2685546875,0.23046875,0.251953125,0.2724609375,0.2802734375,0.220703125,0.1923828125,0.265625,0.212890625,0.2705078125,0.265625,0.2451171875,0.2451171875,0.2734375,0.21875,0.271484375,0.283203125,0.2744140625,0.2001953125,0.2900390625,0.2861328125,0.2744140625,0.2568359375,0.259765625,0.2529296875,0.2490234375,0.2890625,0.19140625,0.21484375,0.2685546875,0.2001953125,0.2177734375,0.224609375,0.234375,0.171875,0.16796875,0.279296875,0.232421875,0.2724609375,0.2216796875,0.251953125,0.26953125,0.259765625,0.2685546875,0.2783203125,0.1953125
5,model_4,0.2559883549528302,0.283203125,0.2939453125,0.2890625,0.2685546875,0.2578125,0.2509765625,0.25,0.19140625,0.30859375,0.2900390625,0.2421875,0.2568359375,0.2734375,0.279296875,0.2275390625,0.1865234375,0.263671875,0.2177734375,0.2880859375,0.2724609375,0.2451171875,0.2509765625,0.287109375,0.2236328125,0.2802734375,0.294921875,0.265625,0.20703125,0.2939453125,0.2783203125,0.2880859375,0.265625,0.2587890625,0.2626953125,0.2548828125,0.2998046875,0.216796875,0.232421875,0.2734375,0.203125,0.2294921875,0.22265625,0.234375,0.171875,0.15234375,0.2783203125,0.2431640625,0.2705078125,0.2392578125,0.259765625,0.287109375,0.2578125,0.2744140625,0.2822265625,0.1962890625
6,model_5,0.25816258844339623,0.287109375,0.302734375,0.2900390625,0.271484375,0.26171875,0.2568359375,0.24609375,0.23046875,0.3095703125,0.2880859375,0.244140625,0.2529296875,0.275390625,0.2861328125,0.2138671875,0.19921875,0.267578125,0.2119140625,0.2900390625,0.2646484375,0.244140625,0.240234375,0.2861328125,0.2255859375,0.275390625,0.2841796875,0.2724609375,0.2119140625,0.29296875,0.287109375,0.287109375,0.26171875,0.2587890625,0.2568359375,0.2529296875,0.2958984375,0.2099609375,0.2255859375,0.2724609375,0.193359375,0.2314453125,0.2451171875,0.234375,0.171875,0.1923828125,0.283203125,0.2548828125,0.279296875,0.240234375,0.263671875,0.279296875,0.263671875,0.27734375,0.2861328125,0.201171875
7,model_6,0.26057635613207547,0.2890625,0.3017578125,0.2880859375,0.267578125,0.265625,0.255859375,0.25390625,0.2109375,0.30859375,0.2841796875,0.224609375,0.2607421875,0.275390625,0.28515625,0.21875,0.20703125,0.26953125,0.2177734375,0.28515625,0.2724609375,0.248046875,0.2568359375,0.2890625,0.232421875,0.28125,0.2939453125,0.2724609375,0.21875,0.2978515625,0.2890625,0.291015625,0.2734375,0.2607421875,0.2646484375,0.2548828125,0.2998046875,0.205078125,0.232421875,0.2724609375,0.2001953125,0.23046875,0.248046875,0.234375,0.171875,0.189453125,0.2841796875,0.25,0.2861328125,0.2412109375,0.263671875,0.2919921875,0.2646484375,0.2783203125,0.2880859375,0.2177734375
8,model_7,0.26144236438679247,0.2900390625,0.30078125,0.2939453125,0.267578125,0.263671875,0.2568359375,0.251953125,0.228515625,0.3095703125,0.287109375,0.2451171875,0.255859375,0.2763671875,0.283203125,0.2333984375,0.1962890625,0.2548828125,0.2119140625,0.291015625,0.27734375,0.25,0.2587890625,0.2880859375,0.232421875,0.2802734375,0.2939453125,0.2724609375,0.216796875,0.2958984375,0.283203125,0.2900390625,0.2734375,0.2607421875,0.2646484375,0.2587890625,0.2958984375,0.19921875,0.236328125,0.2734375,0.2109375,0.234375,0.23828125,0.234375,0.171875,0.2021484375,0.2861328125,0.2333984375,0.28515625,0.25,0.2666015625,0.29296875,0.259765625,0.2802734375,0.287109375,0.2294921875
9,model_8,0.2626768867924528,0.291015625,0.3037109375,0.29296875,0.271484375,0.2529296875,0.2578125,0.2529296875,0.2177734375,0.30859375,0.2890625,0.23828125,0.2578125,0.27734375,0.28515625,0.232421875,0.203125,0.259765625,0.2197265625,0.291015625,0.2783203125,0.24609375,0.265625,0.2900390625,0.2333984375,0.28125,0.298828125,0.2734375,0.220703125,0.2939453125,0.287109375,0.2919921875,0.2822265625,0.259765625,0.2685546875,0.255859375,0.29296875,0.19921875,0.234375,0.2783203125,0.2158203125,0.240234375,0.2548828125,0.234375,0.171875,0.201171875,0.2822265625,0.2607421875,0.28125,0.2451171875,0.2646484375,0.29296875,0.2685546875,0.279296875,0.2861328125,0.2138671875
10,model_9,0.26492482311320753,0.29296875,0.3046875,0.2900390625,0.2734375,0.279296875,0.26171875,0.2578125,0.2265625,0.3095703125,0.2744140625,0.2490234375,0.2548828125,0.2763671875,0.2783203125,0.2373046875,0.2138671875,0.26953125,0.2197265625,0.2900390625,0.2783203125,0.2470703125,0.275390625,0.291015625,0.2353515625,0.2841796875,0.296875,0.2744140625,0.2197265625,0.2978515625,0.28515625,0.2900390625,0.2822265625,0.263671875,0.2666015625,0.26171875,0.298828125,0.1796875,0.232421875,0.2802734375,0.2255859375,0.2431640625,0.2568359375,0.234375,0.171875,0.2080078125,0.2841796875,0.263671875,0.287109375,0.25390625,0.267578125,0.2900390625,0.263671875,0.2802734375,0.291015625,0.2255859375
11,model_10,0.2655328714622642,0.291015625,0.3046875,0.2919921875,0.2724609375,0.263671875,0.255859375,0.2578125,0.240234375,0.310546875,0.28515625,0.2490234375,0.2578125,0.275390625,0.283203125,0.2373046875,0.2099609375,0.26953125,0.2265625,0.2900390625,0.2802734375,0.248046875,0.2685546875,0.2880859375,0.2373046875,0.2802734375,0.296875,0.2802734375,0.23046875,0.2958984375,0.28515625,0.2919921875,0.279296875,0.2626953125,0.267578125,0.259765625,0.298828125,0.208984375,0.2373046875,0.2763671875,0.212890625,0.2373046875,0.2578125,0.234375,0.171875,0.220703125,0.2861328125,0.259765625,0.2900390625,0.244140625,0.259765625,0.2919921875,0.2685546875,0.2802734375,0.2919921875,0.2255859375
12,model_11,0.26595666273584906,0.2919921875,0.3056640625,0.294921875,0.2734375,0.275390625,0.2607421875,0.255859375,0.2294921875,0.3095703125,0.2822265625,0.251953125,0.2587890625,0.2763671875,0.2841796875,0.234375,0.2099609375,0.26953125,0.2216796875,0.2900390625,0.287109375,0.24609375,0.2724609375,0.2880859375,0.2314453125,0.2841796875,0.294921875,0.2734375,0.234375,0.2978515625,0.279296875,0.291015625,0.28125,0.26171875,0.2646484375,0.26171875,0.2998046875,0.203125,0.228515625,0.27734375,0.24609375,0.2373046875,0.259765625,0.234375,0.171875,0.205078125,0.28515625,0.2705078125,0.2841796875,0.25390625,0.2666015625,0.2919921875,0.267578125,0.2841796875,0.2939453125,0.21484375
13,model_12,0.2669147995283019,0.29296875,0.306640625,0.29296875,0.2734375,0.279296875,0.265625,0.259765625,0.234375,0.3095703125,0.28125,0.2529296875,0.255859375,0.275390625,0.287109375,0.24609375,0.2158203125,0.263671875,0.2275390625,0.2880859375,0.28515625,0.2490234375,0.2734375,0.291015625,0.23828125,0.2822265625,0.2919921875,0.2734375,0.2158203125,0.2939453125,0.291015625,0.291015625,0.2841796875,0.26171875,0.271484375,0.26171875,0.294921875,0.2109375,0.236328125,0.279296875,0.208984375,0.244140625,0.2626953125,0.234375,0.171875,0.22265625,0.2861328125,0.263671875,0.291015625,0.255859375,0.2626953125,0.2900390625,0.275390625,0.2841796875,0.2939453125,0.2197265625
14,model_13,0.2674491450471698,0.29296875,0.306640625,0.29296875,0.2783203125,0.2822265625,0.25,0.26171875,0.240234375,0.3115234375,0.2880859375,0.2509765625,0.2529296875,0.2744140625,0.287109375,0.2431640625,0.212890625,0.267578125,0.2216796875,0.2900390625,0.2890625,0.2509765625,0.27734375,0.2890625,0.236328125,0.28515625,0.2939453125,0.2724609375,0.2333984375,0.2958984375,0.2880859375,0.2900390625,0.28125,0.2626953125,0.265625,0.26171875,0.2998046875,0.197265625,0.2392578125,0.2763671875,0.2294921875,0.2421875,0.259765625,0.234375,0.171875,0.22265625,0.2861328125,0.2705078125,0.2900390625,0.2568359375,0.2666015625,0.2919921875,0.2705078125,0.2841796875,0.291015625,0.2216796875
