,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.3318418181818182,0.3063,0.3752,0.3235,0.3741,0.3118,0.3812,0.353,0.3326,0.3706,0.4038,0.3482,0.2679,0.3703,0.2858,0.468,0.2972,0.3752,0.2982,0.4045,0.2708,0.3692,0.3248,0.2956,0.2848,0.4177,0.3068,0.1756,0.37,0.193,0.3746,0.194,0.4559,0.2967,0.3213,0.4078,0.2294,0.3841,0.359,0.4391,0.4108,0.3649,0.2814,0.4197,0.3151,0.2962,0.4059,0.2018,0.3454,0.4093,0.3103,0.2957,0.2943,0.2148,0.2778,0.2903
1,model_0,0.20887784090909092,0.2392578125,0.1123046875,0.2021484375,0.197265625,0.228515625,0.16015625,0.2373046875,0.2236328125,0.24609375,0.2451171875,0.2724609375,0.16796875,0.142578125,0.169921875,0.2333984375,0.28125,0.2763671875,0.2646484375,0.240234375,0.1044921875,0.240234375,0.2265625,0.0986328125,0.27734375,0.1826171875,0.1708984375,0.26171875,0.1689453125,0.142578125,0.2197265625,0.189453125,0.2880859375,0.248046875,0.1884765625,0.2568359375,0.2470703125,0.2353515625,0.095703125,0.2275390625,0.0888671875,0.234375,0.1044921875,0.13671875,0.2001953125,0.1767578125,0.2724609375,0.2529296875,0.1982421875,0.2236328125,0.2646484375,0.2646484375,0.1708984375,0.212890625,0.205078125,0.2705078125
2,model_1,0.16111472800925927,0.0830078125,0.083984375,0.1201171875,0.10546875,0.1015625,0.185546875,0.0947265625,0.0869140625,0.1064453125,0.1005859375,0.2490234375,0.0947265625,0.115234375,0.0888671875,0.0986328125,0.1767578125,0.1923828125,0.0927734375,0.2646484375,0.1103515625,0.107421875,0.1953125,0.103515625,0.0849609375,0.140625,0.099609375,0.1005859375,0.1591796875,0.162109375,0.142578125,0.189453125,0.09375,0.1875,0.08984375,0.2021484375,0.228515625,0.1416015625,0.0927734375,0.208984375,0.123046875,0.259765625,0.2109375,0.248046875,0.2451171875,0.2353515625,0.1806640625,0.205078125,0.2578125,0.2236328125,0.25390625,0.2783203125,0.19921875,0.208984375,0.2001953125,0.27734375
3,model_2,0.18379267939814814,0.0830078125,0.09375,0.109375,0.185546875,0.162109375,0.123046875,0.0947265625,0.16015625,0.1806640625,0.1611328125,0.087890625,0.1044921875,0.138671875,0.1083984375,0.125,0.1875,0.2646484375,0.1396484375,0.251953125,0.1259765625,0.2109375,0.1943359375,0.10546875,0.2216796875,0.123046875,0.21875,0.09765625,0.1767578125,0.12109375,0.1953125,0.189453125,0.1904296875,0.18359375,0.1015625,0.2626953125,0.2099609375,0.1474609375,0.17578125,0.21484375,0.1337890625,0.259765625,0.1923828125,0.2578125,0.2587890625,0.26171875,0.2490234375,0.26171875,0.255859375,0.2568359375,0.2666015625,0.2685546875,0.216796875,0.265625,0.2060546875,0.2744140625
4,model_3,0.21305338541666666,0.1650390625,0.1640625,0.1875,0.16796875,0.1689453125,0.1953125,0.1005859375,0.1806640625,0.2744140625,0.2548828125,0.267578125,0.0947265625,0.181640625,0.1748046875,0.1044921875,0.1728515625,0.25390625,0.2021484375,0.251953125,0.14453125,0.2421875,0.26171875,0.1513671875,0.2568359375,0.2216796875,0.2080078125,0.259765625,0.173828125,0.130859375,0.1826171875,0.189453125,0.287109375,0.1826171875,0.177734375,0.265625,0.2529296875,0.15625,0.1982421875,0.2373046875,0.18359375,0.271484375,0.201171875,0.24609375,0.251953125,0.2529296875,0.2841796875,0.24609375,0.265625,0.26171875,0.271484375,0.28515625,0.2080078125,0.2490234375,0.197265625,0.2744140625
5,model_4,0.21840639467592593,0.208984375,0.08203125,0.21484375,0.2373046875,0.2470703125,0.1630859375,0.1513671875,0.23828125,0.1923828125,0.2470703125,0.1826171875,0.125,0.2255859375,0.0927734375,0.1533203125,0.197265625,0.2158203125,0.2607421875,0.2646484375,0.189453125,0.2548828125,0.2607421875,0.1044921875,0.2646484375,0.248046875,0.2060546875,0.2578125,0.1767578125,0.15625,0.2197265625,0.189453125,0.2939453125,0.2158203125,0.16796875,0.2470703125,0.2236328125,0.1591796875,0.185546875,0.2412109375,0.1875,0.2724609375,0.2265625,0.2568359375,0.2431640625,0.26171875,0.2587890625,0.2587890625,0.267578125,0.271484375,0.2763671875,0.2822265625,0.21484375,0.255859375,0.2177734375,0.2685546875
6,model_5,0.2338324652777778,0.25,0.158203125,0.2607421875,0.2373046875,0.251953125,0.1845703125,0.1962890625,0.2421875,0.2666015625,0.197265625,0.2724609375,0.16015625,0.224609375,0.216796875,0.185546875,0.2548828125,0.2509765625,0.2548828125,0.2607421875,0.1416015625,0.2548828125,0.2392578125,0.15625,0.2783203125,0.1962890625,0.2041015625,0.2587890625,0.208984375,0.1650390625,0.2197265625,0.189453125,0.2890625,0.2080078125,0.189453125,0.2646484375,0.2607421875,0.259765625,0.1748046875,0.240234375,0.1884765625,0.2666015625,0.2412109375,0.255859375,0.2578125,0.2724609375,0.28515625,0.2568359375,0.26171875,0.263671875,0.2734375,0.287109375,0.203125,0.2783203125,0.2236328125,0.275390625
7,model_6,0.2326931423611111,0.2578125,0.08203125,0.2353515625,0.2265625,0.2548828125,0.1962890625,0.1982421875,0.2392578125,0.2763671875,0.2255859375,0.265625,0.1513671875,0.22265625,0.2255859375,0.185546875,0.2470703125,0.2734375,0.212890625,0.267578125,0.1728515625,0.248046875,0.26171875,0.171875,0.2705078125,0.2529296875,0.216796875,0.2685546875,0.1943359375,0.1474609375,0.216796875,0.189453125,0.287109375,0.2353515625,0.1826171875,0.2646484375,0.224609375,0.17578125,0.177734375,0.2412109375,0.2177734375,0.2666015625,0.2275390625,0.255859375,0.25,0.259765625,0.28125,0.26171875,0.2705078125,0.2734375,0.27734375,0.2802734375,0.21875,0.26953125,0.2216796875,0.2783203125
8,model_7,0.23799189814814814,0.25,0.1611328125,0.2587890625,0.2353515625,0.232421875,0.19140625,0.1962890625,0.2099609375,0.255859375,0.255859375,0.2724609375,0.166015625,0.2451171875,0.2255859375,0.185546875,0.248046875,0.2392578125,0.2255859375,0.265625,0.1845703125,0.2578125,0.263671875,0.1787109375,0.2763671875,0.2060546875,0.1923828125,0.2666015625,0.212890625,0.1904296875,0.2021484375,0.189453125,0.275390625,0.2509765625,0.1884765625,0.2646484375,0.2666015625,0.263671875,0.208984375,0.244140625,0.212890625,0.2685546875,0.2333984375,0.255859375,0.265625,0.2724609375,0.271484375,0.267578125,0.26953125,0.2666015625,0.28515625,0.2900390625,0.2236328125,0.2744140625,0.21484375,0.2646484375
9,model_8,0.24052372685185186,0.2548828125,0.1552734375,0.2685546875,0.1884765625,0.25390625,0.2138671875,0.2001953125,0.2421875,0.271484375,0.251953125,0.2451171875,0.1689453125,0.2412109375,0.232421875,0.185546875,0.2373046875,0.2685546875,0.275390625,0.267578125,0.185546875,0.255859375,0.240234375,0.1806640625,0.2783203125,0.244140625,0.2060546875,0.271484375,0.2001953125,0.1923828125,0.2021484375,0.189453125,0.2890625,0.2646484375,0.1884765625,0.255859375,0.271484375,0.197265625,0.2177734375,0.2412109375,0.212890625,0.2724609375,0.24609375,0.2578125,0.259765625,0.265625,0.28515625,0.267578125,0.2734375,0.271484375,0.283203125,0.2890625,0.220703125,0.2783203125,0.2314453125,0.267578125
10,model_9,0.24412254050925927,0.2548828125,0.1708984375,0.2353515625,0.2431640625,0.2666015625,0.2646484375,0.2021484375,0.236328125,0.267578125,0.2333984375,0.2685546875,0.19140625,0.234375,0.2470703125,0.21484375,0.25,0.25390625,0.2587890625,0.263671875,0.1875,0.251953125,0.267578125,0.1767578125,0.2763671875,0.22265625,0.2001953125,0.2724609375,0.20703125,0.2041015625,0.1884765625,0.189453125,0.2763671875,0.2724609375,0.1962890625,0.267578125,0.2685546875,0.2666015625,0.224609375,0.2490234375,0.2177734375,0.2724609375,0.2451171875,0.25390625,0.2626953125,0.2734375,0.2841796875,0.263671875,0.2724609375,0.2587890625,0.2724609375,0.2822265625,0.216796875,0.27734375,0.224609375,0.2705078125
