,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.28623818181818184,0.2879,0.2706,0.2717,0.2904,0.2952,0.2911,0.2717,0.2962,0.2948,0.2899,0.2864,0.2925,0.2902,0.2853,0.293,0.2884,0.2921,0.2552,0.2956,0.2807,0.292,0.296,0.2879,0.2952,0.2881,0.2936,0.2906,0.2839,0.2971,0.2962,0.2758,0.2949,0.2882,0.2927,0.2898,0.2532,0.2894,0.2936,0.2971,0.2958,0.2656,0.2966,0.2949,0.2821,0.2629,0.2662,0.2837,0.2968,0.2715,0.2905,0.2919,0.2932,0.2713,0.2706,0.2953
1,model_0,0.19319957386363637,0.1591796875,0.2080078125,0.16796875,0.2529296875,0.2373046875,0.2216796875,0.16796875,0.26953125,0.21484375,0.267578125,0.193359375,0.2412109375,0.1201171875,0.1806640625,0.24609375,0.1279296875,0.255859375,0.130859375,0.216796875,0.154296875,0.2333984375,0.2294921875,0.2421875,0.1943359375,0.1728515625,0.2197265625,0.2509765625,0.1279296875,0.271484375,0.2314453125,0.1982421875,0.197265625,0.177734375,0.2021484375,0.1650390625,0.1884765625,0.21875,0.23046875,0.1875,0.1416015625,0.189453125,0.2236328125,0.087890625,0.1298828125,0.0888671875,0.09375,0.12109375,0.263671875,0.1767578125,0.1494140625,0.2197265625,0.2275390625,0.1865234375,0.1689453125,0.18359375
2,model_1,0.2324396306818182,0.1923828125,0.22265625,0.2021484375,0.291015625,0.259765625,0.2236328125,0.1767578125,0.28125,0.2373046875,0.2607421875,0.21875,0.1982421875,0.2646484375,0.11328125,0.2587890625,0.275390625,0.232421875,0.1982421875,0.240234375,0.1982421875,0.25390625,0.2392578125,0.2421875,0.2568359375,0.2255859375,0.2646484375,0.2744140625,0.3427734375,0.26953125,0.2841796875,0.185546875,0.2265625,0.2666015625,0.25390625,0.2265625,0.2119140625,0.248046875,0.2216796875,0.2421875,0.236328125,0.205078125,0.2509765625,0.2236328125,0.255859375,0.1611328125,0.2646484375,0.0966796875,0.2783203125,0.19140625,0.181640625,0.275390625,0.240234375,0.220703125,0.189453125,0.23046875
3,model_2,0.2537109375,0.240234375,0.2490234375,0.203125,0.3037109375,0.255859375,0.2470703125,0.1953125,0.2822265625,0.2373046875,0.2919921875,0.27734375,0.25390625,0.2890625,0.236328125,0.2734375,0.267578125,0.2626953125,0.203125,0.2685546875,0.2265625,0.2548828125,0.2666015625,0.2529296875,0.2578125,0.240234375,0.2724609375,0.2880859375,0.2529296875,0.28125,0.2822265625,0.2431640625,0.2470703125,0.2587890625,0.2744140625,0.2705078125,0.2431640625,0.2529296875,0.25390625,0.275390625,0.251953125,0.21875,0.2607421875,0.2421875,0.2578125,0.1767578125,0.2412109375,0.26953125,0.294921875,0.2109375,0.2646484375,0.275390625,0.24609375,0.2509765625,0.21875,0.240234375
4,model_3,0.2594637784090909,0.2548828125,0.2314453125,0.224609375,0.2958984375,0.2734375,0.2451171875,0.216796875,0.2734375,0.2373046875,0.29296875,0.2724609375,0.263671875,0.28125,0.2451171875,0.2685546875,0.2763671875,0.2578125,0.25,0.265625,0.2373046875,0.267578125,0.275390625,0.2548828125,0.255859375,0.2431640625,0.2802734375,0.29296875,0.2646484375,0.283203125,0.298828125,0.2353515625,0.2626953125,0.2626953125,0.2763671875,0.26171875,0.244140625,0.2568359375,0.24609375,0.279296875,0.2529296875,0.2392578125,0.2548828125,0.251953125,0.2578125,0.2275390625,0.2685546875,0.271484375,0.30078125,0.2109375,0.2666015625,0.2763671875,0.25390625,0.2412109375,0.22265625,0.267578125
5,model_4,0.26305042613636365,0.248046875,0.2607421875,0.2265625,0.298828125,0.2783203125,0.263671875,0.2255859375,0.2841796875,0.248046875,0.291015625,0.2822265625,0.26953125,0.2939453125,0.2666015625,0.275390625,0.2763671875,0.26171875,0.2509765625,0.263671875,0.2431640625,0.2578125,0.275390625,0.24609375,0.2646484375,0.2421875,0.2890625,0.29296875,0.25390625,0.283203125,0.30078125,0.26171875,0.265625,0.259765625,0.28125,0.2734375,0.2392578125,0.2578125,0.2568359375,0.27734375,0.2548828125,0.224609375,0.2587890625,0.2451171875,0.2568359375,0.224609375,0.255859375,0.2822265625,0.2978515625,0.2265625,0.265625,0.2763671875,0.2587890625,0.2548828125,0.23046875,0.2666015625
6,model_5,0.2623579545454545,0.259765625,0.2548828125,0.23828125,0.2890625,0.2783203125,0.2451171875,0.2216796875,0.2880859375,0.2451171875,0.2919921875,0.279296875,0.26171875,0.287109375,0.25390625,0.271484375,0.2802734375,0.2626953125,0.25390625,0.271484375,0.2373046875,0.2646484375,0.2685546875,0.26171875,0.26171875,0.2451171875,0.28515625,0.2939453125,0.2578125,0.2744140625,0.2998046875,0.236328125,0.263671875,0.26171875,0.2822265625,0.2705078125,0.2490234375,0.259765625,0.2548828125,0.28515625,0.255859375,0.236328125,0.2607421875,0.25,0.2568359375,0.2275390625,0.26953125,0.28125,0.30078125,0.203125,0.265625,0.271484375,0.255859375,0.2646484375,0.2119140625,0.2705078125
7,model_6,0.2671697443181818,0.2568359375,0.2666015625,0.2490234375,0.2939453125,0.2802734375,0.2666015625,0.2333984375,0.2841796875,0.2470703125,0.2919921875,0.283203125,0.2724609375,0.2939453125,0.2685546875,0.275390625,0.2802734375,0.26171875,0.2568359375,0.2744140625,0.24609375,0.267578125,0.27734375,0.2646484375,0.26953125,0.2470703125,0.2939453125,0.2939453125,0.2626953125,0.28125,0.3037109375,0.2646484375,0.26953125,0.267578125,0.2841796875,0.2763671875,0.2490234375,0.2607421875,0.2568359375,0.2841796875,0.255859375,0.2275390625,0.2646484375,0.2529296875,0.2578125,0.2333984375,0.2734375,0.2744140625,0.3017578125,0.2255859375,0.2666015625,0.26953125,0.2578125,0.2666015625,0.234375,0.2744140625
8,model_7,0.26661931818181817,0.2607421875,0.26953125,0.232421875,0.3046875,0.2783203125,0.2529296875,0.2333984375,0.287109375,0.2470703125,0.2958984375,0.27734375,0.2685546875,0.2861328125,0.26953125,0.2763671875,0.279296875,0.2587890625,0.2490234375,0.275390625,0.2392578125,0.2666015625,0.27734375,0.259765625,0.271484375,0.2421875,0.296875,0.294921875,0.259765625,0.283203125,0.3037109375,0.26171875,0.2724609375,0.263671875,0.287109375,0.2705078125,0.248046875,0.259765625,0.255859375,0.28515625,0.2548828125,0.2314453125,0.265625,0.26171875,0.2568359375,0.2314453125,0.251953125,0.275390625,0.302734375,0.2490234375,0.267578125,0.27734375,0.2587890625,0.2646484375,0.2392578125,0.2734375
9,model_8,0.2689630681818182,0.26171875,0.2744140625,0.2529296875,0.3046875,0.2802734375,0.271484375,0.224609375,0.2890625,0.2470703125,0.294921875,0.279296875,0.2666015625,0.2939453125,0.2607421875,0.27734375,0.2802734375,0.2626953125,0.2412109375,0.27734375,0.2373046875,0.2666015625,0.2783203125,0.2646484375,0.271484375,0.2470703125,0.2958984375,0.2939453125,0.2607421875,0.2841796875,0.3017578125,0.267578125,0.2734375,0.2646484375,0.2861328125,0.2763671875,0.2529296875,0.255859375,0.25390625,0.2861328125,0.255859375,0.23046875,0.265625,0.2587890625,0.3125,0.2353515625,0.2734375,0.27734375,0.302734375,0.228515625,0.265625,0.2744140625,0.263671875,0.2744140625,0.2392578125,0.275390625
