,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.28662363636363636,0.2798,0.2983,0.2964,0.2887,0.2964,0.259,0.2823,0.2639,0.2966,0.2494,0.2721,0.2925,0.2913,0.2973,0.2973,0.2921,0.2921,0.292,0.2929,0.2852,0.2861,0.2922,0.2861,0.2914,0.2914,0.2888,0.2969,0.2904,0.2971,0.2908,0.2914,0.291,0.2917,0.2739,0.2877,0.2962,0.2621,0.2982,0.2702,0.291,0.2963,0.2967,0.2643,0.2867,0.2505,0.2885,0.2942,0.2623,0.282,0.294,0.2971,0.2929,0.2943,0.2896,0.2947
1,model_0,0.20134943181818182,0.1142578125,0.255859375,0.251953125,0.2060546875,0.2275390625,0.0927734375,0.189453125,0.1103515625,0.2353515625,0.1591796875,0.189453125,0.1875,0.267578125,0.2470703125,0.2333984375,0.2177734375,0.1767578125,0.0927734375,0.1875,0.185546875,0.20703125,0.2412109375,0.248046875,0.16015625,0.255859375,0.224609375,0.2412109375,0.173828125,0.15625,0.1708984375,0.1875,0.1806640625,0.25390625,0.1953125,0.130859375,0.232421875,0.2001953125,0.2666015625,0.2353515625,0.248046875,0.2783203125,0.1748046875,0.087890625,0.1650390625,0.0888671875,0.24609375,0.232421875,0.17578125,0.2646484375,0.236328125,0.2275390625,0.2490234375,0.1591796875,0.26171875,0.1884765625
2,model_1,0.23494318181818183,0.2236328125,0.2666015625,0.251953125,0.2568359375,0.2578125,0.1064453125,0.25,0.13671875,0.248046875,0.2275390625,0.1806640625,0.1748046875,0.248046875,0.25390625,0.25,0.2646484375,0.205078125,0.2802734375,0.244140625,0.216796875,0.2841796875,0.283203125,0.2548828125,0.1845703125,0.2587890625,0.24609375,0.2412109375,0.208984375,0.2724609375,0.251953125,0.1796875,0.1806640625,0.2568359375,0.1806640625,0.228515625,0.2900390625,0.2470703125,0.27734375,0.224609375,0.2587890625,0.2744140625,0.2734375,0.201171875,0.2109375,0.119140625,0.267578125,0.2578125,0.224609375,0.2724609375,0.240234375,0.2626953125,0.259765625,0.228515625,0.2275390625,0.2470703125
3,model_2,0.25463423295454546,0.23046875,0.2685546875,0.283203125,0.2646484375,0.27734375,0.1064453125,0.2568359375,0.189453125,0.26953125,0.2470703125,0.2177734375,0.267578125,0.2783203125,0.2607421875,0.251953125,0.2880859375,0.240234375,0.2353515625,0.2490234375,0.240234375,0.28515625,0.296875,0.27734375,0.18359375,0.2529296875,0.2490234375,0.2421875,0.248046875,0.255859375,0.26171875,0.2626953125,0.2685546875,0.267578125,0.228515625,0.2431640625,0.2939453125,0.2568359375,0.2861328125,0.240234375,0.2685546875,0.2958984375,0.2734375,0.2490234375,0.2509765625,0.216796875,0.271484375,0.279296875,0.2333984375,0.2626953125,0.2626953125,0.2705078125,0.263671875,0.251953125,0.271484375,0.259765625
4,model_3,0.26143465909090907,0.234375,0.271484375,0.2626953125,0.287109375,0.27734375,0.2509765625,0.271484375,0.205078125,0.2734375,0.2392578125,0.240234375,0.2783203125,0.283203125,0.2685546875,0.2548828125,0.2841796875,0.25,0.2431640625,0.259765625,0.2373046875,0.263671875,0.29296875,0.26953125,0.2724609375,0.271484375,0.244140625,0.2509765625,0.251953125,0.28125,0.2626953125,0.236328125,0.2685546875,0.271484375,0.2421875,0.2392578125,0.2998046875,0.2587890625,0.287109375,0.236328125,0.2666015625,0.30078125,0.26953125,0.2470703125,0.279296875,0.203125,0.2822265625,0.283203125,0.23046875,0.28125,0.2646484375,0.2744140625,0.23828125,0.2607421875,0.2685546875,0.2548828125
5,model_4,0.26418678977272725,0.234375,0.2724609375,0.2841796875,0.2822265625,0.2724609375,0.240234375,0.2783203125,0.205078125,0.27734375,0.248046875,0.23046875,0.2734375,0.2802734375,0.2705078125,0.2529296875,0.2890625,0.2421875,0.24609375,0.259765625,0.2373046875,0.28515625,0.2890625,0.267578125,0.2802734375,0.26953125,0.2509765625,0.25390625,0.2548828125,0.2734375,0.265625,0.2529296875,0.259765625,0.2705078125,0.234375,0.2509765625,0.298828125,0.259765625,0.2880859375,0.2607421875,0.263671875,0.30078125,0.27734375,0.255859375,0.275390625,0.228515625,0.2802734375,0.283203125,0.232421875,0.271484375,0.271484375,0.2744140625,0.2646484375,0.2646484375,0.279296875,0.263671875
6,model_5,0.2670099431818182,0.2353515625,0.2734375,0.2841796875,0.2880859375,0.2783203125,0.2470703125,0.2705078125,0.1953125,0.2734375,0.24609375,0.234375,0.283203125,0.279296875,0.26953125,0.2509765625,0.2880859375,0.2568359375,0.2548828125,0.2607421875,0.24609375,0.29296875,0.294921875,0.279296875,0.2734375,0.271484375,0.244140625,0.2509765625,0.2568359375,0.28125,0.2626953125,0.2666015625,0.259765625,0.271484375,0.2392578125,0.248046875,0.29296875,0.26171875,0.28515625,0.263671875,0.271484375,0.3017578125,0.2783203125,0.259765625,0.2919921875,0.2353515625,0.283203125,0.287109375,0.244140625,0.28515625,0.2744140625,0.275390625,0.2822265625,0.263671875,0.2802734375,0.2587890625
7,model_6,0.26759588068181817,0.2353515625,0.267578125,0.26953125,0.2861328125,0.279296875,0.259765625,0.283203125,0.208984375,0.279296875,0.255859375,0.2421875,0.279296875,0.28125,0.2705078125,0.255859375,0.2890625,0.2548828125,0.25390625,0.2646484375,0.240234375,0.2998046875,0.296875,0.2763671875,0.283203125,0.267578125,0.2509765625,0.2529296875,0.263671875,0.2822265625,0.2607421875,0.271484375,0.267578125,0.2705078125,0.236328125,0.2548828125,0.2939453125,0.2666015625,0.287109375,0.251953125,0.265625,0.2998046875,0.2734375,0.2587890625,0.28515625,0.2294921875,0.2880859375,0.28515625,0.234375,0.287109375,0.2685546875,0.2734375,0.267578125,0.2626953125,0.2822265625,0.2646484375
8,model_7,0.2699396306818182,0.240234375,0.2744140625,0.283203125,0.2890625,0.28125,0.25390625,0.283203125,0.2236328125,0.27734375,0.25,0.2490234375,0.2822265625,0.279296875,0.2724609375,0.2548828125,0.2900390625,0.2626953125,0.25390625,0.2685546875,0.2509765625,0.2939453125,0.2958984375,0.28125,0.2841796875,0.271484375,0.244140625,0.2548828125,0.2587890625,0.28125,0.263671875,0.265625,0.2666015625,0.271484375,0.2373046875,0.255859375,0.2998046875,0.259765625,0.2880859375,0.2685546875,0.2724609375,0.302734375,0.27734375,0.2568359375,0.291015625,0.23046875,0.2900390625,0.28515625,0.2470703125,0.291015625,0.271484375,0.2763671875,0.28515625,0.259765625,0.2802734375,0.2666015625
9,model_8,0.27072088068181815,0.2431640625,0.275390625,0.287109375,0.287109375,0.28125,0.2568359375,0.2861328125,0.22265625,0.275390625,0.2587890625,0.25,0.27734375,0.28515625,0.2705078125,0.2529296875,0.2880859375,0.2568359375,0.2666015625,0.2666015625,0.2548828125,0.2939453125,0.2978515625,0.2734375,0.279296875,0.2734375,0.2548828125,0.255859375,0.267578125,0.279296875,0.2646484375,0.2705078125,0.2529296875,0.267578125,0.2421875,0.25390625,0.298828125,0.2724609375,0.2890625,0.2666015625,0.2685546875,0.3037109375,0.2744140625,0.265625,0.2919921875,0.2373046875,0.2919921875,0.287109375,0.2490234375,0.2900390625,0.275390625,0.2734375,0.26953125,0.263671875,0.28515625,0.265625
