,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.3897054545454546,0.3581,0.2945,0.4045,0.3569,0.3878,0.2895,0.3922,0.2904,0.3982,0.4909,0.3737,0.3786,0.4373,0.353,0.4336,0.2811,0.385,0.3992,0.342,0.4242,0.2957,0.4692,0.5201,0.4271,0.3574,0.5426,0.453,0.3699,0.3051,0.376,0.3313,0.3142,0.3325,0.4612,0.3457,0.4186,0.3212,0.6413,0.3768,0.3693,0.3757,0.4188,0.3028,0.4622,0.335,0.4662,0.5675,0.4359,0.3324,0.4123,0.4285,0.3683,0.26,0.343,0.4263
1,model_0,0.12647372159090908,0.125,0.162109375,0.1044921875,0.1005859375,0.17578125,0.11328125,0.1611328125,0.154296875,0.0966796875,0.1005859375,0.111328125,0.1181640625,0.1142578125,0.10546875,0.126953125,0.0908203125,0.2109375,0.1953125,0.1083984375,0.1640625,0.107421875,0.0986328125,0.21875,0.158203125,0.091796875,0.103515625,0.1005859375,0.109375,0.1123046875,0.11328125,0.1923828125,0.0771484375,0.08203125,0.1142578125,0.091796875,0.0986328125,0.1904296875,0.1865234375,0.1357421875,0.0908203125,0.095703125,0.0947265625,0.2021484375,0.150390625,0.1083984375,0.0859375,0.1552734375,0.0927734375,0.154296875,0.0986328125,0.099609375,0.107421875,0.107421875,0.1865234375,0.103515625
2,model_1,0.10729758522727273,0.111328125,0.109375,0.09765625,0.1005859375,0.1005859375,0.109375,0.0947265625,0.095703125,0.08984375,0.0986328125,0.1064453125,0.08203125,0.0859375,0.10546875,0.1005859375,0.0908203125,0.1142578125,0.1083984375,0.1083984375,0.0927734375,0.107421875,0.0859375,0.11328125,0.10546875,0.09765625,0.1103515625,0.1005859375,0.1728515625,0.111328125,0.091796875,0.099609375,0.1572265625,0.08203125,0.1142578125,0.1015625,0.109375,0.11328125,0.0859375,0.099609375,0.0908203125,0.1181640625,0.1669921875,0.130859375,0.0908203125,0.0947265625,0.0966796875,0.0869140625,0.0927734375,0.0869140625,0.0986328125,0.1943359375,0.09375,0.107421875,0.185546875,0.103515625
3,model_2,0.12650923295454544,0.111328125,0.2158203125,0.09765625,0.1005859375,0.1083984375,0.109375,0.0830078125,0.095703125,0.08984375,0.0986328125,0.0947265625,0.10546875,0.0859375,0.107421875,0.1025390625,0.0966796875,0.1953125,0.1689453125,0.091796875,0.10546875,0.107421875,0.0859375,0.11328125,0.1796875,0.09765625,0.1103515625,0.1005859375,0.134765625,0.2001953125,0.091796875,0.099609375,0.1005859375,0.08203125,0.1142578125,0.2392578125,0.109375,0.2080078125,0.1337890625,0.1376953125,0.181640625,0.095703125,0.181640625,0.169921875,0.1611328125,0.0947265625,0.1796875,0.0859375,0.1337890625,0.099609375,0.0986328125,0.2578125,0.087890625,0.107421875,0.19921875,0.1123046875
4,model_3,0.15442116477272727,0.1123046875,0.216796875,0.09765625,0.1572265625,0.091796875,0.08984375,0.12890625,0.095703125,0.1103515625,0.16015625,0.0947265625,0.134765625,0.19140625,0.1240234375,0.177734375,0.212890625,0.19140625,0.1865234375,0.1083984375,0.259765625,0.107421875,0.0859375,0.11328125,0.1953125,0.09765625,0.103515625,0.1142578125,0.169921875,0.2080078125,0.2119140625,0.203125,0.2333984375,0.1083984375,0.1171875,0.1884765625,0.1953125,0.2412109375,0.142578125,0.2158203125,0.228515625,0.1875,0.2109375,0.2060546875,0.18359375,0.0947265625,0.1552734375,0.0859375,0.0888671875,0.1826171875,0.0986328125,0.2119140625,0.087890625,0.107421875,0.1875,0.1806640625
5,model_4,0.1709161931818182,0.2646484375,0.2958984375,0.2294921875,0.224609375,0.1015625,0.08984375,0.142578125,0.095703125,0.0966796875,0.1533203125,0.1455078125,0.1396484375,0.2412109375,0.1171875,0.1669921875,0.1669921875,0.2041015625,0.1083984375,0.1875,0.2255859375,0.107421875,0.1474609375,0.1142578125,0.09765625,0.1884765625,0.103515625,0.15625,0.1767578125,0.201171875,0.22265625,0.1962890625,0.171875,0.099609375,0.1142578125,0.15234375,0.15625,0.255859375,0.1640625,0.26953125,0.1962890625,0.216796875,0.26953125,0.2470703125,0.17578125,0.0947265625,0.193359375,0.0859375,0.205078125,0.23046875,0.1044921875,0.208984375,0.0869140625,0.171875,0.1904296875,0.2294921875
6,model_5,0.1708096590909091,0.255859375,0.107421875,0.0859375,0.279296875,0.095703125,0.0947265625,0.1689453125,0.095703125,0.109375,0.0986328125,0.166015625,0.0869140625,0.2373046875,0.208984375,0.1728515625,0.0966796875,0.2099609375,0.1201171875,0.2109375,0.232421875,0.1171875,0.0859375,0.158203125,0.09765625,0.1884765625,0.111328125,0.14453125,0.2001953125,0.248046875,0.2041015625,0.1943359375,0.150390625,0.177734375,0.16796875,0.2216796875,0.2177734375,0.2294921875,0.19140625,0.2822265625,0.267578125,0.2197265625,0.240234375,0.2275390625,0.189453125,0.142578125,0.1572265625,0.1005859375,0.1650390625,0.2109375,0.1044921875,0.2265625,0.0927734375,0.1357421875,0.171875,0.2197265625
7,model_6,0.17682883522727272,0.28515625,0.109375,0.0869140625,0.1787109375,0.091796875,0.17578125,0.1044921875,0.095703125,0.1640625,0.126953125,0.1640625,0.171875,0.2412109375,0.2041015625,0.16796875,0.185546875,0.177734375,0.169921875,0.22265625,0.2744140625,0.1396484375,0.0986328125,0.2001953125,0.1953125,0.1845703125,0.134765625,0.1650390625,0.2041015625,0.2109375,0.203125,0.2666015625,0.1474609375,0.1083984375,0.1923828125,0.220703125,0.2490234375,0.189453125,0.171875,0.244140625,0.1982421875,0.18359375,0.2041015625,0.2802734375,0.189453125,0.09765625,0.1669921875,0.0859375,0.162109375,0.2158203125,0.1005859375,0.2705078125,0.0927734375,0.169921875,0.1953125,0.1875
8,model_7,0.19415838068181818,0.2509765625,0.109375,0.09765625,0.1162109375,0.1005859375,0.2216796875,0.1845703125,0.095703125,0.22265625,0.0986328125,0.1640625,0.16015625,0.208984375,0.205078125,0.1865234375,0.185546875,0.283203125,0.1240234375,0.2119140625,0.267578125,0.2080078125,0.1787109375,0.2109375,0.1884765625,0.181640625,0.166015625,0.1904296875,0.2041015625,0.2275390625,0.181640625,0.279296875,0.212890625,0.1640625,0.19140625,0.2431640625,0.2421875,0.294921875,0.1953125,0.2998046875,0.271484375,0.216796875,0.2861328125,0.29296875,0.189453125,0.1396484375,0.16796875,0.1279296875,0.19140625,0.2314453125,0.1416015625,0.205078125,0.095703125,0.1845703125,0.1806640625,0.2001953125
9,model_8,0.2021306818181818,0.265625,0.1923828125,0.1044921875,0.185546875,0.091796875,0.08984375,0.12890625,0.1474609375,0.23828125,0.1484375,0.1640625,0.23828125,0.2548828125,0.2236328125,0.171875,0.255859375,0.2080078125,0.1982421875,0.22265625,0.271484375,0.18359375,0.1650390625,0.21875,0.1875,0.2197265625,0.16796875,0.2412109375,0.205078125,0.19921875,0.181640625,0.2568359375,0.21875,0.1376953125,0.2001953125,0.25,0.2646484375,0.291015625,0.1748046875,0.2998046875,0.275390625,0.1904296875,0.2890625,0.2587890625,0.1875,0.1484375,0.1943359375,0.1494140625,0.2587890625,0.2158203125,0.134765625,0.2607421875,0.107421875,0.169921875,0.1806640625,0.23046875
10,model_9,0.20992542613636364,0.28125,0.2158203125,0.1015625,0.236328125,0.103515625,0.234375,0.2578125,0.1865234375,0.2216796875,0.0986328125,0.1650390625,0.2548828125,0.2861328125,0.205078125,0.173828125,0.2451171875,0.2099609375,0.193359375,0.2080078125,0.27734375,0.154296875,0.11328125,0.21875,0.19140625,0.244140625,0.1650390625,0.2373046875,0.2197265625,0.19921875,0.25390625,0.2822265625,0.2373046875,0.095703125,0.2509765625,0.25390625,0.267578125,0.2880859375,0.1708984375,0.2939453125,0.279296875,0.21875,0.2373046875,0.26171875,0.18359375,0.14453125,0.1669921875,0.1328125,0.2568359375,0.2353515625,0.1318359375,0.2548828125,0.1171875,0.1943359375,0.220703125,0.2158203125
11,model_10,0.2190518465909091,0.2890625,0.2529296875,0.2060546875,0.2724609375,0.091796875,0.14453125,0.224609375,0.193359375,0.26953125,0.150390625,0.1689453125,0.234375,0.28125,0.21484375,0.1748046875,0.2568359375,0.21484375,0.1787109375,0.2431640625,0.2783203125,0.2099609375,0.1220703125,0.2373046875,0.19140625,0.25390625,0.171875,0.2373046875,0.216796875,0.2529296875,0.2314453125,0.2802734375,0.248046875,0.125,0.2197265625,0.251953125,0.2734375,0.28515625,0.17578125,0.294921875,0.279296875,0.2255859375,0.2529296875,0.2744140625,0.189453125,0.16015625,0.2177734375,0.189453125,0.2314453125,0.23828125,0.162109375,0.2724609375,0.130859375,0.1689453125,0.220703125,0.2138671875
12,model_11,0.23030894886363637,0.29296875,0.19921875,0.27734375,0.24609375,0.236328125,0.291015625,0.2568359375,0.1884765625,0.23046875,0.181640625,0.1748046875,0.2548828125,0.265625,0.2099609375,0.18359375,0.265625,0.2861328125,0.2080078125,0.23828125,0.279296875,0.2705078125,0.1376953125,0.255859375,0.19140625,0.248046875,0.1689453125,0.2431640625,0.2119140625,0.224609375,0.236328125,0.2802734375,0.25390625,0.134765625,0.2529296875,0.251953125,0.2666015625,0.263671875,0.173828125,0.2783203125,0.2705078125,0.234375,0.2509765625,0.27734375,0.2216796875,0.1728515625,0.2119140625,0.2373046875,0.279296875,0.216796875,0.1689453125,0.2724609375,0.126953125,0.173828125,0.2275390625,0.212890625
13,model_12,0.23014914772727274,0.29296875,0.3046875,0.275390625,0.2890625,0.208984375,0.30859375,0.2509765625,0.1923828125,0.263671875,0.1806640625,0.1728515625,0.26171875,0.2646484375,0.2158203125,0.197265625,0.263671875,0.298828125,0.166015625,0.2666015625,0.2607421875,0.255859375,0.140625,0.2041015625,0.234375,0.25,0.17578125,0.23046875,0.2197265625,0.216796875,0.1796875,0.2822265625,0.251953125,0.15234375,0.265625,0.2294921875,0.265625,0.2119140625,0.185546875,0.2939453125,0.2802734375,0.224609375,0.2900390625,0.2734375,0.1884765625,0.1728515625,0.2080078125,0.2294921875,0.2353515625,0.1845703125,0.1953125,0.2705078125,0.1201171875,0.1748046875,0.1875,0.2412109375
14,model_13,0.23639914772727272,0.2919921875,0.2109375,0.275390625,0.29296875,0.2509765625,0.3076171875,0.2236328125,0.2216796875,0.197265625,0.1845703125,0.173828125,0.2607421875,0.2724609375,0.2177734375,0.1884765625,0.2607421875,0.28515625,0.2041015625,0.2763671875,0.248046875,0.259765625,0.228515625,0.2294921875,0.2265625,0.25,0.1767578125,0.2421875,0.212890625,0.2353515625,0.2587890625,0.2802734375,0.25,0.1748046875,0.255859375,0.2470703125,0.267578125,0.2763671875,0.19921875,0.2890625,0.28125,0.2265625,0.2763671875,0.2763671875,0.181640625,0.1640625,0.216796875,0.244140625,0.3173828125,0.185546875,0.1826171875,0.2802734375,0.1533203125,0.1806640625,0.2119140625,0.2177734375
