,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.38507818181818176,0.4952,0.4087,0.4292,0.4529,0.419,0.2807,0.3536,0.3765,0.3104,0.44,0.3683,0.3664,0.3327,0.3622,0.4977,0.3867,0.4404,0.3834,0.3663,0.3513,0.3858,0.3848,0.3784,0.375,0.4124,0.3894,0.3464,0.3832,0.3612,0.2926,0.3867,0.4501,0.4326,0.3788,0.4335,0.3579,0.398,0.3089,0.4096,0.4263,0.323,0.3795,0.2869,0.4037,0.2763,0.4813,0.332,0.413,0.3682,0.4046,0.3904,0.4578,0.3849,0.4031,0.3614
1,model_0,0.13647017045454546,0.095703125,0.166015625,0.09765625,0.18359375,0.251953125,0.162109375,0.08984375,0.1025390625,0.1484375,0.12109375,0.169921875,0.0908203125,0.1474609375,0.1708984375,0.0986328125,0.1171875,0.091796875,0.1064453125,0.1552734375,0.232421875,0.1103515625,0.1796875,0.1123046875,0.109375,0.0927734375,0.0771484375,0.1591796875,0.103515625,0.1748046875,0.173828125,0.0927734375,0.1025390625,0.140625,0.259765625,0.1015625,0.1064453125,0.1787109375,0.1669921875,0.1328125,0.091796875,0.09765625,0.1923828125,0.1796875,0.150390625,0.1650390625,0.146484375,0.140625,0.1416015625,0.0830078125,0.171875,0.09765625,0.14453125,0.1015625,0.1083984375,0.1181640625
2,model_1,0.14794034090909092,0.173828125,0.1064453125,0.154296875,0.17578125,0.23046875,0.1455078125,0.107421875,0.1611328125,0.087890625,0.2001953125,0.095703125,0.0908203125,0.11328125,0.095703125,0.0986328125,0.1064453125,0.1025390625,0.1357421875,0.0810546875,0.0947265625,0.166015625,0.2265625,0.1015625,0.107421875,0.1103515625,0.125,0.169921875,0.1953125,0.177734375,0.185546875,0.1796875,0.16015625,0.1123046875,0.1494140625,0.154296875,0.201171875,0.185546875,0.166015625,0.1025390625,0.25390625,0.154296875,0.107421875,0.1923828125,0.1767578125,0.189453125,0.0869140625,0.19921875,0.0888671875,0.1591796875,0.177734375,0.1708984375,0.1513671875,0.197265625,0.0986328125,0.1982421875
3,model_2,0.14488636363636365,0.0927734375,0.1064453125,0.1591796875,0.17578125,0.208984375,0.14453125,0.107421875,0.1376953125,0.087890625,0.220703125,0.0986328125,0.0908203125,0.1181640625,0.095703125,0.1015625,0.189453125,0.1025390625,0.1484375,0.0927734375,0.0947265625,0.1982421875,0.1142578125,0.095703125,0.107421875,0.0859375,0.076171875,0.1787109375,0.19921875,0.1767578125,0.16796875,0.169921875,0.15625,0.087890625,0.1494140625,0.181640625,0.2001953125,0.1796875,0.1044921875,0.1025390625,0.1845703125,0.171875,0.20703125,0.1953125,0.1748046875,0.2021484375,0.166015625,0.095703125,0.1025390625,0.169921875,0.2158203125,0.09765625,0.1884765625,0.158203125,0.1279296875,0.2041015625
4,model_3,0.1484197443181818,0.12109375,0.1064453125,0.09765625,0.09765625,0.1142578125,0.0859375,0.107421875,0.18359375,0.095703125,0.2109375,0.095703125,0.0908203125,0.1142578125,0.1669921875,0.099609375,0.1904296875,0.1025390625,0.1435546875,0.0810546875,0.13671875,0.0986328125,0.1142578125,0.193359375,0.08984375,0.154296875,0.1796875,0.1728515625,0.19921875,0.1748046875,0.19140625,0.1884765625,0.1572265625,0.087890625,0.1513671875,0.1630859375,0.1943359375,0.171875,0.10546875,0.1083984375,0.162109375,0.177734375,0.1103515625,0.197265625,0.2119140625,0.1923828125,0.09375,0.171875,0.16796875,0.1962890625,0.2080078125,0.11328125,0.1982421875,0.2060546875,0.208984375,0.2080078125
5,model_4,0.16170099431818183,0.1181640625,0.1064453125,0.14453125,0.0947265625,0.1142578125,0.0859375,0.2216796875,0.1748046875,0.240234375,0.1162109375,0.095703125,0.173828125,0.1318359375,0.1640625,0.0986328125,0.19140625,0.173828125,0.119140625,0.0810546875,0.1025390625,0.197265625,0.1298828125,0.19921875,0.109375,0.1787109375,0.1796875,0.1865234375,0.2001953125,0.177734375,0.109375,0.185546875,0.1748046875,0.087890625,0.1787109375,0.1015625,0.203125,0.169921875,0.1904296875,0.1025390625,0.197265625,0.2041015625,0.1083984375,0.1845703125,0.193359375,0.1943359375,0.2578125,0.111328125,0.1103515625,0.17578125,0.193359375,0.1640625,0.28125,0.25,0.25,0.2060546875
6,model_5,0.16667258522727274,0.1689453125,0.1064453125,0.09765625,0.0966796875,0.08984375,0.0908203125,0.1962890625,0.095703125,0.1728515625,0.111328125,0.1748046875,0.173828125,0.1572265625,0.1982421875,0.0986328125,0.189453125,0.1025390625,0.1474609375,0.08203125,0.162109375,0.19921875,0.1650390625,0.19921875,0.109375,0.1640625,0.1796875,0.232421875,0.1767578125,0.1787109375,0.2041015625,0.1796875,0.1640625,0.189453125,0.1259765625,0.208984375,0.2021484375,0.1669921875,0.19140625,0.171875,0.244140625,0.1611328125,0.1123046875,0.1962890625,0.1904296875,0.19140625,0.138671875,0.1865234375,0.171875,0.1806640625,0.1337890625,0.1240234375,0.2587890625,0.2080078125,0.3291015625,0.2177734375
7,model_6,0.17878196022727272,0.1787109375,0.1181640625,0.2021484375,0.09375,0.171875,0.0849609375,0.0927734375,0.1845703125,0.173828125,0.1728515625,0.18359375,0.17578125,0.212890625,0.130859375,0.1298828125,0.19140625,0.2109375,0.20703125,0.08203125,0.1572265625,0.17578125,0.1162109375,0.2255859375,0.13671875,0.2177734375,0.1806640625,0.19921875,0.1923828125,0.1787109375,0.1875,0.1865234375,0.1669921875,0.1025390625,0.146484375,0.1015625,0.205078125,0.169921875,0.1923828125,0.1650390625,0.197265625,0.2265625,0.1533203125,0.1953125,0.2158203125,0.2314453125,0.2548828125,0.2177734375,0.18359375,0.2216796875,0.19140625,0.16796875,0.228515625,0.30859375,0.2080078125,0.228515625
8,model_7,0.17993607954545454,0.1787109375,0.1728515625,0.1748046875,0.1123046875,0.16796875,0.1416015625,0.1005859375,0.1923828125,0.185546875,0.169921875,0.1826171875,0.173828125,0.2138671875,0.095703125,0.119140625,0.1923828125,0.1953125,0.1767578125,0.0810546875,0.1025390625,0.1005859375,0.119140625,0.2060546875,0.095703125,0.1953125,0.193359375,0.1904296875,0.2412109375,0.19140625,0.2060546875,0.1826171875,0.1640625,0.267578125,0.205078125,0.1904296875,0.2041015625,0.24609375,0.14453125,0.203125,0.25390625,0.1904296875,0.1337890625,0.1953125,0.1669921875,0.1943359375,0.2509765625,0.189453125,0.171875,0.2177734375,0.1640625,0.1728515625,0.2548828125,0.2314453125,0.2158203125,0.2158203125
9,model_8,0.18348721590909092,0.1806640625,0.1826171875,0.13671875,0.09375,0.1806640625,0.1455078125,0.1435546875,0.189453125,0.1962890625,0.173828125,0.185546875,0.1796875,0.21484375,0.095703125,0.2158203125,0.197265625,0.1748046875,0.1728515625,0.0849609375,0.146484375,0.115234375,0.216796875,0.197265625,0.109375,0.20703125,0.236328125,0.1923828125,0.1943359375,0.1796875,0.2216796875,0.18359375,0.1669921875,0.1123046875,0.2001953125,0.11328125,0.205078125,0.1806640625,0.1923828125,0.1025390625,0.224609375,0.236328125,0.1318359375,0.1953125,0.259765625,0.2490234375,0.2412109375,0.20703125,0.216796875,0.2001953125,0.173828125,0.185546875,0.330078125,0.291015625,0.1162109375,0.21484375
