,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.3299763636363635,0.3746,0.3015,0.374,0.309,0.3348,0.4403,0.3645,0.3758,0.397,0.3004,0.3526,0.3855,0.291,0.3196,0.5138,0.2142,0.2235,0.359,0.3357,0.2713,0.3517,0.2694,0.2947,0.3971,0.2612,0.2553,0.2898,0.3569,0.508,0.2426,0.3432,0.3464,0.2896,0.1981,0.3746,0.3469,0.3013,0.3258,0.3163,0.2187,0.3485,0.4271,0.3104,0.416,0.5023,0.2442,0.2308,0.3679,0.2229,0.3605,0.3559,0.3735,0.2878,0.2731,0.3021
1,model_0,0.17054332386363635,0.138671875,0.2060546875,0.216796875,0.1767578125,0.2373046875,0.14453125,0.21484375,0.083984375,0.2333984375,0.185546875,0.240234375,0.1884765625,0.1572265625,0.1982421875,0.2099609375,0.1640625,0.1396484375,0.1787109375,0.1865234375,0.0791015625,0.19921875,0.1259765625,0.1572265625,0.212890625,0.166015625,0.1689453125,0.15234375,0.1484375,0.1484375,0.13671875,0.212890625,0.158203125,0.13671875,0.16796875,0.2373046875,0.146484375,0.21484375,0.1943359375,0.1513671875,0.125,0.2041015625,0.126953125,0.20703125,0.1171875,0.185546875,0.158203125,0.1455078125,0.1494140625,0.1767578125,0.1728515625,0.0849609375,0.2080078125,0.154296875,0.1669921875,0.1806640625
2,model_1,0.13302556818181818,0.1259765625,0.1669921875,0.0712890625,0.1328125,0.0830078125,0.091796875,0.0908203125,0.1474609375,0.078125,0.0849609375,0.1552734375,0.083984375,0.169921875,0.083984375,0.060546875,0.111328125,0.0751953125,0.17578125,0.083984375,0.0791015625,0.138671875,0.06640625,0.109375,0.15625,0.1767578125,0.158203125,0.1552734375,0.1552734375,0.1484375,0.146484375,0.1865234375,0.0791015625,0.140625,0.091796875,0.1591796875,0.158203125,0.1474609375,0.1474609375,0.099609375,0.1298828125,0.171875,0.171875,0.171875,0.1796875,0.169921875,0.08203125,0.1513671875,0.1376953125,0.08984375,0.2021484375,0.2177734375,0.154296875,0.1650390625,0.1611328125,0.1865234375
3,model_2,0.16079545454545455,0.076171875,0.169921875,0.0908203125,0.0888671875,0.0908203125,0.171875,0.1279296875,0.08203125,0.0771484375,0.076171875,0.208984375,0.1875,0.126953125,0.171875,0.1513671875,0.1484375,0.1142578125,0.17578125,0.1787109375,0.0810546875,0.16015625,0.099609375,0.171875,0.2060546875,0.1767578125,0.0869140625,0.1796875,0.2041015625,0.1533203125,0.0859375,0.15625,0.1904296875,0.169921875,0.08984375,0.240234375,0.1611328125,0.2119140625,0.2265625,0.2021484375,0.1357421875,0.1845703125,0.2001953125,0.2158203125,0.2470703125,0.1787109375,0.173828125,0.18359375,0.228515625,0.0908203125,0.201171875,0.236328125,0.2197265625,0.1669921875,0.19921875,0.2119140625
4,model_3,0.16576704545454546,0.0771484375,0.09375,0.1943359375,0.1123046875,0.0869140625,0.091796875,0.1240234375,0.208984375,0.0771484375,0.08984375,0.1728515625,0.0888671875,0.1201171875,0.1318359375,0.212890625,0.16015625,0.1123046875,0.2265625,0.173828125,0.095703125,0.2197265625,0.12890625,0.1259765625,0.166015625,0.1943359375,0.1201171875,0.1669921875,0.162109375,0.1669921875,0.0859375,0.2158203125,0.193359375,0.177734375,0.150390625,0.244140625,0.14453125,0.2021484375,0.212890625,0.2333984375,0.1455078125,0.228515625,0.201171875,0.205078125,0.25390625,0.171875,0.19140625,0.1552734375,0.232421875,0.142578125,0.2119140625,0.2373046875,0.228515625,0.1669921875,0.1640625,0.2177734375
5,model_4,0.17839133522727274,0.1435546875,0.171875,0.125,0.1767578125,0.154296875,0.091796875,0.107421875,0.2158203125,0.0771484375,0.1298828125,0.1533203125,0.154296875,0.1708984375,0.2021484375,0.1474609375,0.150390625,0.1748046875,0.15234375,0.193359375,0.1044921875,0.201171875,0.1474609375,0.1806640625,0.1640625,0.1806640625,0.1337890625,0.22265625,0.20703125,0.1591796875,0.1484375,0.2158203125,0.2236328125,0.19140625,0.1396484375,0.2236328125,0.1455078125,0.1962890625,0.224609375,0.234375,0.1162109375,0.234375,0.205078125,0.2138671875,0.2724609375,0.216796875,0.1728515625,0.177734375,0.2373046875,0.166015625,0.203125,0.2392578125,0.2255859375,0.1787109375,0.1962890625,0.21875
6,model_5,0.1845880681818182,0.1357421875,0.16796875,0.099609375,0.212890625,0.240234375,0.0888671875,0.0966796875,0.1708984375,0.1171875,0.1474609375,0.1953125,0.1552734375,0.123046875,0.181640625,0.216796875,0.1630859375,0.158203125,0.21484375,0.2265625,0.10546875,0.22265625,0.14453125,0.1640625,0.240234375,0.17578125,0.1650390625,0.216796875,0.212890625,0.185546875,0.0908203125,0.22265625,0.2353515625,0.205078125,0.130859375,0.212890625,0.1591796875,0.2177734375,0.2294921875,0.232421875,0.140625,0.2333984375,0.2158203125,0.21484375,0.2470703125,0.2197265625,0.1689453125,0.173828125,0.234375,0.162109375,0.2119140625,0.2392578125,0.2197265625,0.1806640625,0.189453125,0.21875
7,model_6,0.18112571022727272,0.115234375,0.0810546875,0.0859375,0.1611328125,0.177734375,0.091796875,0.1064453125,0.158203125,0.099609375,0.1298828125,0.1650390625,0.1552734375,0.169921875,0.22265625,0.177734375,0.162109375,0.1376953125,0.2275390625,0.208984375,0.0791015625,0.205078125,0.14453125,0.171875,0.2373046875,0.1845703125,0.14453125,0.240234375,0.212890625,0.1455078125,0.1650390625,0.2158203125,0.2255859375,0.1923828125,0.1513671875,0.2373046875,0.1455078125,0.2314453125,0.2265625,0.2353515625,0.140625,0.2265625,0.2138671875,0.228515625,0.2548828125,0.2275390625,0.197265625,0.16796875,0.236328125,0.16796875,0.208984375,0.244140625,0.2216796875,0.177734375,0.2001953125,0.2216796875
8,model_7,0.19099786931818183,0.1298828125,0.1708984375,0.0908203125,0.197265625,0.1953125,0.0888671875,0.21484375,0.197265625,0.1748046875,0.08984375,0.216796875,0.1845703125,0.171875,0.1923828125,0.216796875,0.1396484375,0.1572265625,0.2216796875,0.1787109375,0.1455078125,0.2109375,0.1513671875,0.1630859375,0.23828125,0.1767578125,0.166015625,0.21875,0.208984375,0.1806640625,0.197265625,0.21484375,0.2138671875,0.2080078125,0.1533203125,0.224609375,0.14453125,0.23046875,0.2265625,0.236328125,0.146484375,0.2431640625,0.20703125,0.2333984375,0.25,0.2265625,0.1962890625,0.171875,0.2392578125,0.1650390625,0.1982421875,0.2470703125,0.2265625,0.1943359375,0.2001953125,0.2197265625
9,model_8,0.19167258522727273,0.103515625,0.1640625,0.0947265625,0.1708984375,0.1728515625,0.1279296875,0.158203125,0.2119140625,0.1943359375,0.1337890625,0.2197265625,0.1650390625,0.1689453125,0.2109375,0.1796875,0.1591796875,0.1572265625,0.169921875,0.2578125,0.13671875,0.2138671875,0.1533203125,0.203125,0.21484375,0.1884765625,0.1640625,0.20703125,0.2109375,0.1669921875,0.1943359375,0.220703125,0.23828125,0.21484375,0.15234375,0.2333984375,0.1455078125,0.23828125,0.220703125,0.2373046875,0.150390625,0.248046875,0.228515625,0.23046875,0.2607421875,0.2158203125,0.197265625,0.1650390625,0.2373046875,0.162109375,0.1767578125,0.2353515625,0.2255859375,0.2138671875,0.1962890625,0.22265625
